text_id,text,retrieved_context_triplets,retrieved_examples,extracted_triplets,triplet_count,kb_size_before,kb_size_after
1143,"The ReentrantLock isLocked() method returns true if the Lock is currently locked, and false if not.","(ReentrantLock, has_method, tryLock())
(Lock class, is_not, reentrant)
(isLocked, equals, false)
(ReentrantLock, has_method, isHeldByCurrentThread())
(while(isLocked) loop, inside, lock() method)","[Example 1]
Text: The ReentrantLock isHeldByCurrentThread() method returns true if the Lock is held (locked) by the thread calling isHeldByCurrentThread(), and false if not.
Triplets: (ReentrantLock, has_method, isHeldByCurrentThread()) | (isHeldByCurrentThread(), returns, true) | (Lock, held_by, thread) | (thread, calling, isHeldByCurrentThread()) | (isHeldByCurrentThread(), returns, false)

[Example 2]
Text: The ReentrantLock isFair() method returns true if this Lock guarantees fairness among threads waiting to lock it, and false if not.
Triplets: (ReentrantLock, has_method, isFair()) | (isFair(), returns, true) | (Lock, guarantees, fairness) | (threads, waiting_to_lock, Lock) | (isFair(), returns, false)

[Example 3]
Text: In the following sections I will explain how to use the ReentrantLock class as a Lock.
Triplets: (ReentrantLock class, used_as, Lock)","(ReentrantLock, has_method, isLocked()) | (isLocked(), returns, true) | (Lock, is_currently, locked) | (isLocked(), returns, false)",4,2023,2027
1148,Then an anonymous implementation of the Callable interface is created and passed to the schedule() method.,"(Runnable interface, implemented_by, anonymous implementation)
(create, implementation_of, Delayed interface)
(Runnable interface, passed_to, execute() method)
(ScheduledExecutorService, can_schedule, tasks)
(Java class, implements, Runnable interface)","[Example 1]
Text: Second, an anonymous implementation of the Runnable interface is passed to the execute() method.
Triplets: (Runnable interface, implemented_by, anonymous implementation) | (Runnable interface, passed_to, execute() method)

[Example 2]
Text: Apart from being an anononymous class, this example is quite similar to the example that used a custom class to implement the Runnable interface.
Triplets: (Runnable interface, similar_to, custom class)

[Example 3]
Text: Instead you must use a custom class, or a custom interface that extends Runnable which has the extra methods, and which is implemented by an anonymous class.
Triplets: (Runnable, extended_by, custom interface) | (custom interface, has_method, extra methods) | (custom interface, implemented_by, anonymous class)","(callable, implementation, schedule())",2,2035,2037
1157,"Thus, at most N threads can pass the acquire() method without any release() calls, where N is the number of permits the semaphore was initialized with.","(thread, allowed_to, take semaphore)
(Java 5, comes_with, semaphore implementations)
(thread, calls, release())
(java.util.concurrent, contains, semaphore implementations)
(thread, must_obtain, lock)","[Example 1]
Text: Since only one thread is allowed to take the semaphore, all other threads calling take() will be blocked until release() is called.
Triplets: (thread, allowed_to, take semaphore) | (threads, calling, take()) | (threads, blocked_until, release() called)

[Example 2]
Text: For each call to release() a permit is returned to the semaphore.
Triplets: (thread, returns, permit) | (permit, returned_to, semaphore)

[Example 3]
Text: You can read more about it in the java.util.concurrent.Semaphore text, in my java.util.concurrent tutorial.
Triplets: (java.util.concurrent, contains, Semaphore) | (java.util.concurrent, explained_in, tutorial)","(acquire(), depends on, release)",4,2055,2059
1183,Here is an example of obtaining the CertPath type via getType():,"(CertPath, has_method, getCertificates())
(CertPath class, has_documentation, Java CertPath tutorial)
(generateCertPath(), creates, CertPath instance)
(CertPath, consists_of, Certificate instances)
(getCertificates(), obtains, Certificate instances)","[Example 1]
Text: Once you have a Java CertPath instance you can obtain the Certificate instances the CertPath consists of by calling the CertPath getCertificates() method.
Triplets: (CertPath, has_method, getCertificates()) | (getCertificates(), obtains, Certificate instances) | (CertPath, consists_of, Certificate instances)

[Example 2]
Text: You create a CertPath instance by calling the CertificateFactory generateCertPath() method.
Triplets: (CertificateFactory, has_method, generateCertPath()) | (generateCertPath(), creates, CertPath instance)

[Example 3]
Text: See the Java CertPath tutorial for more information about the CertPath class.
Triplets: (CertPath class, has_documentation, Java CertPath tutorial)","(getType, obtaining, CertPath)",0,2099,2099
1192,"The reason a call to doFinal() is needed for the last block of data is, that some encryption algorithms need to pad the the data to fit a certain cipher block size (e.g.","(doFinal(), called_with, last data block)
(doFinal(), used_for, single block of data)
(doFinal(), takes, different parameters)
(doFinal(), has_version, overridden version)
(multiple blocks of data, used_for, encrypt or decrypt)","[Example 1]
Text: If you have to encrypt or decrypt a single block of data, just call the doFinal() with the data to encrypt or decrypt.
Triplets: (doFinal(), used_for, single block of data)

[Example 2]
Text: multiple blocks from a large file, you call the update() once for each block of data, and finish with a call to doFinal() with the last data block.
Triplets: (update(), called_for, each block of data) | (doFinal(), called_with, last data block)

[Example 3]
Text: There are several overridden versions of both update() and doFinal() which takes different parameters.
Triplets: (update(), has_version, overridden version) | (doFinal(), has_version, overridden version) | (update(), takes, different parameters) | (doFinal(), takes, different parameters)","(doFinal(), called_with, last block of data)",1,2112,2113
1204,JCA is structured around some central general purpose classes and interfaces.,"(Several built-in classes, implements, Java Comparable interface)
(classes, implement, Java Map interface)
(classes, implements, Java Comparable interface)
(objects, implement, java.lang.Comparable interface)
(Java Collection classes, use, them)","[Example 1]
Text: Several of the built-in classes in Java implements the Java Comparable interface.
Triplets: (Several built-in classes, implements, Java Comparable interface)

[Example 2]
Text: The purpose of this text was mostly to explain how they are used by the Java Collection classes.
Triplets: (Java Collection classes, use, them)

[Example 3]
Text: This package contains a set of classes that makes it easier to develop concurrent (multithreaded) applications in Java.
Triplets: (java.util.concurrent, contains, classes) | (java.util.concurrent, facilitates, concurrent applications) | (java.util.concurrent, facilitates, multithreaded applications)","(JCA, structured_around, general purpose classes) | (JCA, structured_around, interfaces)",2,2139,2141
1211,You do so by calling the Cipher update() or doFinal() methods.,"(Java Cipher instance, used_with, doFinal())
(Java class, is_called, Cipher)
(doFinal(), called_on, Cipher instance)
(Java Cipher tutorial, explains, Cipher class)
(Cipher, has_method, getInstance())","[Example 1]
Text: When decrypting multiple blocks of data you also call the Cipher update() method for intermediate data blocks, and the doFinal() method for the last block.
Triplets: (update(), called_for, intermediate data blocks) | (doFinal(), called_for, last block)

[Example 2]
Text: After this doFinal() call you can encrypt yet another block of data with the same Java Cipher instance.
Triplets: (doFinal(), used_for, encrypt another block of data) | (Java Cipher instance, used_with, doFinal())

[Example 3]
Text: That is why the Java class is called Cipher and not e.g.
Triplets: (Java class, is_called, Cipher)","(Cipher, has_method, update()) | (Cipher, has_method, doFinal())",2,2148,2150
1215,To decrypt data you would have passed cipher text (encrypted data) into the doFinal() or doUpdate() method instead.,"(doFinal(), used_for, encrypting some data)
(Java Cipher instance, used_with, doFinal())
(decryption, operates_on, byte array)
(update(), used_for, decrypting part of a bigger chunk of data)
(Cipher instance, initialized_with, Cipher.DECRYPT_MODE)","[Example 1]
Text: If you have to encrypt or decrypt a single block of data, just call the doFinal() with the data to encrypt or decrypt.
Triplets: (doFinal(), used_for, single block of data)

[Example 2]
Text: To initialize a Cipher instance to decrypt data you have to use the Cipher.DECRYPT_MODE, like this:
Triplets: (Cipher instance, initialized_with, Cipher.DECRYPT_MODE)

[Example 3]
Text: When decrypting multiple blocks of data you also call the Cipher update() method for intermediate data blocks, and the doFinal() method for the last block.
Triplets: (update(), called_for, intermediate data blocks) | (doFinal(), called_for, last block)","(dofinal(), be similar with, doupdate)",4,2155,2159
1222,In order to calculate a message digest of some data you call the update() or digest() method.,"(MessageDigest, used_for, calculating message digests)
(update(), writes, days)
(update(), called_for, intermediate blocks of data)
(update(), writes, variables)
(threads, update, stamp)","[Example 1]
Text: You can use the Java MessageDigest (java.security.MessageDigest) to calculate message digests.
Triplets: (MessageDigest, part_of, java.security) | (MessageDigest, used_for, calculating message digests)

[Example 2]
Text: The update() method is used if you are encrypting or decrypting part of a bigger chunk of data.
Triplets: (update(), used_for, encrypting part of a bigger chunk of data) | (update(), used_for, decrypting part of a bigger chunk of data)

[Example 3]
Text: Once the update() method writes a value to days, the newly written values to years and months are also written to main memory.
Triplets: (update(), writes, years) | (update(), writes, months) | (years, is_written_to, main memory) | (months, is_written_to, main memory)","(update(), relies on, digest())",2,2170,2172
1229,"You create a Java Mac instance by calling the Mac.getInstance() method, passing as parameter the name of the algorithm to use.","(Java Mac class, used_to_create, MAC)
(Mac class, described_in, Java Mac tutorial)
(Java class, implements, Runnable)
(Java class, implements, Runnable interface)
(Java class, has_method, doStop())","[Example 1]
Text: The Mac class is described in more detail in the Java Mac tutorial, but below is a short introduction.
Triplets: (Mac class, described_in, Java Mac tutorial)

[Example 2]
Text: The Java Mac class is used to create a MAC from a message.
Triplets: (Java Mac class, used_to_create, MAC)

[Example 3]
Text: You create a Cipher instance by calling its getInstance() method with a parameter telling what type of encryption algorithm you want to use.
Triplets: (Cipher, has_method, getInstance())","(mac.getInstance(), create, mac)",1,2180,2181
1246,You can access the PublicKey of a KeyPair by calling its getPublic() method.,"(getPublicKey(), returns, PublicKey)
(KeyPairGenerator, part_of, Java Cryptography API)
(keyIterator, returns, key)
(initSign(), requires, private key)
(threads, evaluate, sharedMap.containsKey(""key""))","[Example 1]
Text: The Java Certificate getPublicKey() method returns the PublicKey of this Certificate instance.
Triplets: (Certificate, has_method, getPublicKey()) | (getPublicKey(), returns, PublicKey)

[Example 2]
Text: The KeyStore class is quite advanced so it is described in more detail in its own Java KeyStore Tutorial.
Triplets: (KeyStore, described_in, Java KeyStore Tutorial)

[Example 3]
Text: Generating a key is done by calling the KeyGenerator generateKey() method.
Triplets: (KeyGenerator, has_method, generateKey())","(KeyPair, has_method, getPublic()) | (getPublic(), returns, PublicKey)",2,2206,2208
1253,You can create a Java KeyStore instance by calling its getInstance() method.,"(KeyStore, described_in, Java KeyStore Tutorial)
(KeyPairGenerator, part_of, Java Cryptography API)
(KeyPairGenerator class, part_of, Java Cryptography API)
(KeyStore class, used_for, handle encryption keys securely)
(KeyGenerator class, requires, KeyGenerator instance)","[Example 1]
Text: The KeyStore class is quite advanced so it is described in more detail in its own Java KeyStore Tutorial.
Triplets: (KeyStore, described_in, Java KeyStore Tutorial)

[Example 2]
Text: Creating a KeyPairGenerator instance is done by calling the method getInstance() method.
Triplets: (KeyPairGenerator, has_method, getInstance())

[Example 3]
Text: Before you can use the Java KeyGenerator class you must create a KeyGenerator instance.
Triplets: (KeyGenerator class, requires, KeyGenerator instance)","(KeyStore, has_method, getInstance())",1,2217,2218
1254,It is also possible to create other types of KeyStore instance by passing a different parameter to the getInstance() method.,"(KeyStore, has_method, getInstance())
(KeyStore, described_in, Java KeyStore Tutorial)
(KeyPairGenerator, has_method, getInstance())
(KeyGenerator class, requires, KeyGenerator instance)
(KeyStore class, used_for, handle encryption keys securely)","[Example 1]
Text: You can create a Java KeyStore instance by calling its getInstance() method.
Triplets: (KeyStore, has_method, getInstance())

[Example 2]
Text: The KeyStore class is quite advanced so it is described in more detail in its own Java KeyStore Tutorial.
Triplets: (KeyStore, described_in, Java KeyStore Tutorial)

[Example 3]
Text: Creating a KeyPairGenerator instance is done by calling the method getInstance() method.
Triplets: (KeyPairGenerator, has_method, getInstance())","(KeyStore, has_method, getInstance())",1,2218,2218
1280,"If you have multiple blocks of data to include in the same message digest, call the update() method and finish off with a call to digest().","(update(), updates, message digest internally)
(digest(), follows, update())
(update(), used_for, calculating a message digest)
(digest(), used_for, getting message digest data)
(message digest, calculated_from, binary data)","[Example 1]
Text: The update() method can be called multiple times, and the message digest is updated internally.
Triplets: (update(), can_be_called, multiple times) | (update(), updates, message digest internally)

[Example 2]
Text: When you have passed all the data you want to include in the message digest, you call digest() and get the resulting message digest data out.
Triplets: (digest(), used_for, getting message digest data)

[Example 3]
Text: In order to calculate a message digest of some data you call the update() or digest() method.
Triplets: (update(), used_for, calculating a message digest) | (digest(), used_for, calculating a message digest)","(update(), used_for, including multiple blocks of data) | (digest(), used_for, finishing message digest calculation)",2,2255,2257
1306,You can read about them in the JavaDoc for the DateTimeFormatter class.,"(Java DateTimeFormatter, used_with, classes in the Java 8 date time API)
(Java DateTimeFormatter, used_to, parse and format dates)
(DateTimeFormatter, located_in, java.time.format)
(Java date time API, has_representation, new date and time representation)
(Java 7, has, date and time classes)","[Example 1]
Text: The Java DateTimeFormatter class is used to parse and format dates represented with the classes in the Java 8 date time API.
Triplets: (Java DateTimeFormatter, used_to, parse and format dates) | (Java DateTimeFormatter, used_with, classes in the Java 8 date time API)

[Example 2]
Text: The DateTimeFormatter is located in the java.time.format package so the fully qualified class name is java.time.format.DateTimeFormatter.
Triplets: (DateTimeFormatter, located_in, java.time.format)

[Example 3]
Text: Hopefully that will help you get an overview of Java's date and time classes.
Triplets: (Java's date and time classes, overview_in, text)","(DateTimeFormatter, documented_in, JavaDoc)",1,2304,2305
1310,Creating a Duration object is done using one of the Duration class factory methods.,"(Duration class, introduced_in, Java 8)
(Duration class, added_to, Java date time API)
(Duration object, represents, period of time between two Instant objects)
(Java 8 date time API, consists_of, classes)
(Java 7, has, date and time classes)","[Example 1]
Text: A Duration object (java.time.Duration) represents a period of time between two Instant objects.
Triplets: (Duration object, represents, period of time between two Instant objects)

[Example 2]
Text: The Duration class was added to the Java date time API from Java 8.
Triplets: (Duration class, added_to, Java date time API) | (Duration class, introduced_in, Java 8)

[Example 3]
Text: In the scheduleAtFixedRate() method the period is interpreted as a delay between the start of the previous execution, until the start of the next execution.
Triplets: (scheduleAtFixedRate(), has_parameter, period) | (period, interpreted_as, delay) | (delay, occurs_between, start of previous execution) | (delay, occurs_until, start of next execution)","(Duration object, created_using, Duration class factory methods)",1,2310,2311
1311,Here is an example of how to create a Duration object using the between() method:,"(Duration object, represents, period of time between two Instant objects)
(Duration object, created_using, Duration class factory methods)
(Duration class, added_to, Java date time API)
(Duration class, introduced_in, Java 8)
(total time, equals, 1)","[Example 1]
Text: Creating a Duration object is done using one of the Duration class factory methods.
Triplets: (Duration object, created_using, Duration class factory methods)

[Example 2]
Text: A Duration object (java.time.Duration) represents a period of time between two Instant objects.
Triplets: (Duration object, represents, period of time between two Instant objects)

[Example 3]
Text: The Duration class was added to the Java date time API from Java 8.
Triplets: (Duration class, added_to, Java date time API) | (Duration class, introduced_in, Java 8)","(Duration object, created_using, between() method)",1,2311,2312
1321,"For instance, to create an Instant which represents this exact moment of now, call Instant.now(), like this:","(Instant class, represents, specific moment on the time line)
(moment in time, represented_as, number of milliseconds)
(System.getCurrentTimeMillis(), represents, moment in time)
(System.currentTimeMillis(), used_for, simple timing)
(getSeconds(), obtains, seconds part of Duration)","[Example 1]
Text: The Instant class in the Java date time API (java.time.Instant) represents a specific moment on the time line.
Triplets: (Instant class, located_in, Java date time API) | (Instant class, represents, specific moment on the time line)

[Example 2]
Text: This is somewhat different from what we are used to with System.getCurrentTimeMillis() where a moment in time (or a period between two moments) is represented as a number of milliseconds.
Triplets: (System.getCurrentTimeMillis(), represents, moment in time) | (System.getCurrentTimeMillis(), represents, period between two moments) | (moment in time, represented_as, number of milliseconds) | (period between two moments, represented_as, number of milliseconds)

[Example 3]
Text: If you need to do simple timing the System.currentTimeMillis() method will do just fine.
Triplets: (System.currentTimeMillis(), used_for, simple timing)","(instant, created by, instant.now())",2,2327,2329
1332,Here is an example that shows how to create a LocalDateTime object via the now() method:,"(LocalDate, has_method, now())
(LocalDateTime class, represents, local date and time)
(LocalDateTime class, located_in, Java 8 date time API)
(LocalDateTime, located_in, Java 8 date time API)
(LocalDate class, represents, local date)","[Example 1]
Text: Here is an example of creating a LocalDate using the now() method:
Triplets: (LocalDate, has_method, now())

[Example 2]
Text: You can perform a set of simple date calculations with the LocalDate class using one or more of the following methods:
Triplets: (LocalDate, used_for, date calculations)

[Example 3]
Text: For instance, to create an Instant which represents this exact moment of now, call Instant.now(), like this:
Triplets: (Instant, has_method, now()) | (Instant.now(), represents, exact moment of now)","(localdatetime, create, now)",1,2348,2349
1359,"The biggest difference between java.sql.Date and java.util.Date is that the java.sql.Date only keeps the date, not the time, of the date it represents.","(java.sql.Date, extends, java.util.Date)
(java.sql.Date, used_for, database)
(java.sql.ResultSet, interacts_with, java.sql.Date)
(java.sql.Date, initialized_by, long value)
(java.sql.Date, related_to, java.sql.Timestamp)","[Example 1]
Text: Actually, java.sql.Date extends java.util.Date, so anything you can do with a java.util.Date you can also do with a java.sql.Date.
Triplets: (java.sql.Date, extends, java.util.Date)

[Example 2]
Text: If you need to set a date on a java.sql.PreparedStatement or get a date from a java.sql.ResultSet, you will interact with java.sql.Date.
Triplets: (java.sql.PreparedStatement, interacts_with, java.sql.Date) | (java.sql.ResultSet, interacts_with, java.sql.Date)

[Example 3]
Text: If you need to read and write the date and time to a database, use the java.sql.Date and java.sql.Timestamp classes.
Triplets: (java.sql.Date, used_for, database) | (java.sql.Timestamp, used_for, database) | (java.sql.Date, related_to, java.sql.Timestamp)","(java.sql.Date, differs_from, java.util.Date)",1,2387,2388
1384,"The comparison follows the rules for the Comparable interface, meaning the compareTo() method returns:","(Comparable interface, has_method, compareTo())
(compare(), part_of, Comparable interface)
(compare() method, returns, int)
(compareTo() method, returns, int value)
(compareTo() method, implements, your own classes)","[Example 1]
Text: By specifying a type parameter when implementing the Comparable interface, the compareTo() method parameter changes from Object to whatever type you have specified.
Triplets: (Comparable interface, has_method, compareTo()) | (compareTo() method parameter, changes_from, Object)

[Example 2]
Text: Please keep in mind that the Comparable interface is intended for comparison of objects of the same class.
Triplets: (Comparable interface, intended_for, comparison of objects) | (objects, part_of, same class)

[Example 3]
Text: In the following section I will explain how the compareTo() method works.
Triplets: (compareTo(), has_method, works)","(Comparable interface, has_method, compareTo()) | (compareTo() method, follows_rules, Comparable interface) | (compareTo() method, returns, int value)",3,2431,2432
1404,"If a method declares that it throws an exception A, then it is also legal to throw subclasses of A.","(Exceptions, extends, built-in exception classes)
(Exceptions, are, Java classes)
(unchecked exceptions, subclass_of, RuntimeException)
(Java classes, extends, java.lang.Exception)
(inheritance, fails, composition)","[Example 1]
Text: Exceptions are regular Java classes that extends java.lang.Exception, or any of the other built-in exception classes.
Triplets: (Exceptions, are, Java classes) | (Java classes, extends, java.lang.Exception) | (Exceptions, extends, built-in exception classes)

[Example 2]
Text: It is a great example of when the classic ""Is a / Has a"" OOP rule about when to use inheritance vs. composition fails.
Triplets: (inheritance, fails, composition)

[Example 3]
Text: If the classes do not match, the Java VM will throw a ClassCastException.
Triplets: (classes, do_not_match, ClassCastException)","(method, declares, throws exception A) | (subclasses of A, legal_to_throw, exception A)",2,2470,2472
1410,"Neither is the last reader.close() or the System.out.println(""--- File End ---""); statements.","(System.out.println(), executes, statement)
(System.out.println(), not_executes, statement)
(reader.read(), throws, IOException)
(Java InputStream, references, file)
(thread, exits, method)","[Example 1]
Text: If the reader.read() method call throws an IOException, the following System.out.println((char) i ); is not executed.
Triplets: (reader.read(), throws, IOException) | (System.out.println(), not_executes, statement)

[Example 2]
Text: After printing that text, the run() method exits, and the thread running the run() method will stop.
Triplets: (run(), executes, exit())

[Example 3]
Text: In the example above the ""System.out.println(""Division attempt done"");"" statement will always get executed.
Triplets: (System.out.println(), executes, statement)","(reader.close(), not_executes, statement) | (System.out.println(), not_executes, statement)",2,2477,2478
1419,Notice how the readDataFromUrl() method no longer declares that it throws BadUrlException.,"(storeDataFromUrl(), wants_to_call, readDataFromUrl())
(reader.read(), throws, exception)
(reader.read(), throws, IOException)
(getResourceAsStream(), returns, Java InputStream)
(getResourceAsStream(), requires, path)","[Example 1]
Text: If storeDataFromUrl() wants to call readDataFromUrl() it has only two choices.
Triplets: (storeDataFromUrl(), wants_to_call, readDataFromUrl())

[Example 2]
Text: This exception is caught in the PoolThread.run() method, reported, and then the isStopped variable is checked.
Triplets: (PoolThread.run(), catches, exception) | (PoolThread.run(), checks, isStopped variable)

[Example 3]
Text: If you put it into a subdirectory, the path passed to getResourceAsStream() should reflect that.
Triplets: (getResourceAsStream(), requires, path)","(readdatafromurl, declares that it throws, badurlexception)",1,2493,2494
1421,As you can see the readNumberFromUrl() needs to declare throwing both the BadUrlException and the BadNumberException that are thrown from the readDataFromUrl() and converData() methods.,"(readDataFromUrl(), no_longer_throws, BadUrlException)
(storeDataFromUrl(), no_longer_has_to, declare that it propagates the exception)
(storeDataFromUrl(), wants_to_call, readDataFromUrl())
(reader.read(), throws, exception)
(reader.read(), throws, IOException)","[Example 1]
Text: Notice how the readDataFromUrl() method no longer declares that it throws BadUrlException.
Triplets: (readDataFromUrl(), no_longer_throws, BadUrlException)

[Example 2]
Text: If storeDataFromUrl() wants to call readDataFromUrl() it has only two choices.
Triplets: (storeDataFromUrl(), wants_to_call, readDataFromUrl())

[Example 3]
Text: The storeDataFromUrl() method can still choose to catch the exception but it no longer has to, and it no longer has to declare that it propagates the exception.
Triplets: (storeDataFromUrl(), can_choose_to, catch the exception) | (storeDataFromUrl(), no_longer_has_to, declare that it propagates the exception)","(readNumberFromUrl(), needs_to_declare_throwing, BadUrlException) | (readNumberFromUrl(), needs_to_declare_throwing, BadNumberException) | (readDataFromUrl(), throws, BadUrlException) | (converData(), throws, BadNumberException)",4,2496,2500
1434,"Notice how method1() adds the code ""ERROR1"" to the thrown EnrichableException to uniquely identify that error cause.","(method1(), throws, EnrichableException)
(EnrichableException, caught_by, method2())
(method2(), rethrows, EnrichableException)
(EnrichableException, is_superclass_for, enrichable exceptions)
(method, may_throw, subclass of Exception)","[Example 1]
Text: As you can see the method1() throws an EnrichableException which is a superclass for enrichable exceptions.
Triplets: (method1(), throws, EnrichableException) | (EnrichableException, is_superclass_for, enrichable exceptions)

[Example 2]
Text: Notice how method2() calls the addInfo() method on the caught EnrichableException, and rethrow it afterwards.
Triplets: (method2(), calls, addInfo()) | (addInfo(), called_on, EnrichableException) | (EnrichableException, caught_by, method2()) | (method2(), rethrows, EnrichableException)

[Example 3]
Text: As you know a method throwing Exception may also throw any subclass of Exception.
Triplets: (method, may_throw, Exception) | (method, may_throw, subclass of Exception)","(method1(), adds_code, ERROR1) | (method1(), throws, EnrichableException)",2,2528,2529
1436,"Though the error may seem the same to method1() no matter which of method2() and method3() that called it, this may important to know for the developer investigating the error.","(method3(), calls, method1())
(method2(), calls, method1())
(method1(), throws, EnrichableException)
(method1(), adds_code, ERROR1)
(method2(), rethrows, EnrichableException)","[Example 1]
Text: But notice too that method1() is called from both method2() and method3().
Triplets: (method2(), calls, method1()) | (method3(), calls, method1())

[Example 2]
Text: Notice how method1() adds the code ""ERROR1"" to the thrown EnrichableException to uniquely identify that error cause.
Triplets: (method1(), adds_code, ERROR1)

[Example 3]
Text: As you can see the method1() throws an EnrichableException which is a superclass for enrichable exceptions.
Triplets: (method1(), throws, EnrichableException) | (EnrichableException, is_superclass_for, enrichable exceptions)","(method2(), calls, method1()) | (method3(), calls, method1())",2,2531,2531
1451,"You will typically also get more help from your IDE's code completion when writing it, because the IDE will recognize both the doProcess() and process() methods.","(process(), calls, doProcess())
(exception, interrupts, program flow)
(doProcess(), called_inside, try-catch block)
(threads, execute, code)
(exception, halts, program execution)","[Example 1]
Text: Notice how the process() method calls the doProcess() method inside the try-catch block.
Triplets: (process(), calls, doProcess()) | (doProcess(), called_inside, try-catch block)

[Example 2]
Text: The call() method can also thrown an Exception in case the task fails during execution.
Triplets: (call(), throws, Exception)

[Example 3]
Text: You will use the template by subclassing it, and overriding the doProcess() method.
Triplets: (template, subclassed_by, subclass) | (subclass, overrides_method, doProcess())","(doprocess(), be simialr with, process)",3,2558,2561
1467,"In Mr. Persister we could add a ConnectionOpenException, QueryException, UpdateException, CommitException, and ConnectionCloseException as subclasses of PersistenceException.","(storeDataFromUrl(), no_longer_has_to, declare that it propagates the exception)
(exceptions, preserved_in, MyException instance)
(Exceptions, extends, built-in exception classes)
(Anders Hejlsberg, discusses, unchecked exceptions)
(storeDataFromUrl(), can_choose_to, catch the exception)","[Example 1]
Text: The storeDataFromUrl() method can still choose to catch the exception but it no longer has to, and it no longer has to declare that it propagates the exception.
Triplets: (storeDataFromUrl(), can_choose_to, catch the exception) | (storeDataFromUrl(), no_longer_has_to, declare that it propagates the exception)

[Example 2]
Text: They are subclasses of the ApplicationException so they will get propagated up the call stack.
Triplets: (ApplicationException, has_subclasses, They) | (They, get_propagated_up, call stack)

[Example 3]
Text: The only requirement is that the new exceptions thrown are subclasses of the base exception.
Triplets: (subclasses, must_be, base exception)","(PersistenceException, has_subclasses, ConnectionOpenException) | (PersistenceException, has_subclasses, QueryException) | (PersistenceException, has_subclasses, UpdateException) | (PersistenceException, has_subclasses, CommitException) | (PersistenceException, has_subclasses, ConnectionCloseException)",5,2583,2588
1494,The exception thrown when attempting to close the resource would be available inside the Throwable array returned by e.getSuppressed().,"(e.getSuppressed(), returns, Throwable array)
(exception, thrown_from, try-with-resources block)
(input.close(), fails, IOException)
(runtimeExceptions, not_preserved, input.close() call)
(exception, thrown_when, attempted closed)","[Example 1]
Text: If an exception is thrown both from inside the try-with-resources block, and when a resource is closed (when close() is called), the exception thrown inside the try block will be propagated up the call stack.
Triplets: (exception, thrown_from, try-with-resources block) | (resource, closed_when, close() is called) | (exception, thrown_inside, try block) | (exception, propagated_up, call stack)

[Example 2]
Text: RuntimeExceptions thrown from the try-block are not preserved, if the input.close() call also throws an exception.
Triplets: (runtimeExceptions, thrown_from, try-block) | (runtimeExceptions, not_preserved, input.close() call) | (input.close(), throws, exception)

[Example 3]
Text: If the input.close() call fails, and an IOException is thrown, then it is caught, wrapped and rethrown.
Triplets: (input.close(), fails, IOException) | (IOException, thrown_by, input.close() call) | (IOException, caught_by, process) | (IOException, wrapped_and_rethrown, process)","(exception, thrown_when, attempting to close the resource) | (Throwable array, returned_by, e.getSuppressed()) | (exception, available_inside, Throwable array)",3,2636,2639
1498,"In the example above, the AutoClosableResource is configured to throw an exception both when doOp() is called, and when it is attempted closed (via close()).","(exception, thrown_when, doOp() is called)
(doOp(), throws, exception)
(exception, thrown_when, attempted closed)
(handleException(), decides, concrete exception to throw)
(resource, throws, exception)","[Example 1]
Text: However, in the example above I have forced both resources to throw an exception when attempted closed, and the first resource to throw an exception when used (when doOp() is called).
Triplets: (resource, throws, exception) | (exception, thrown_when, doOp() is called)

[Example 2]
Text: In that case, the exception thrown when attempted closed will be propagated up the call stack to the main() method where the try-catch block will catch it.
Triplets: (exception, thrown_when, attempted closed) | (exception, caught_by, try-catch block) | (exception, caught_in, main() method)

[Example 3]
Text: In case the parameter to resourceOne.doOp() was changed to true also, the doOp() method would throw an exception.
Triplets: (doOp(), throws, exception)","(AutoClosableResource, configured_to_throw, exception) | (exception, thrown_when, doOp() is called) | (exception, thrown_when, attempted closed) | (attempted closed, via, close())",4,2646,2648
1512,Also notice how it is not necessary to cast the String instance returned by the get() method.,"(get(), requires_cast, String)
(get(), returns, String reference)
(get(), returns, String)
(get(), method_of, String)
(string_instance, is, empty_string)","[Example 1]
Text: Notice that the get() method returns a Java Object, so we have to cast it to a String (because we know the value is a String).
Triplets: (get(), returns, Java Object) | (get(), requires_cast, String)

[Example 2]
Text: Therefore you do not need to cast the element returned by get() to String.
Triplets: (get(), returns, element)

[Example 3]
Text: Additionally, you do not have to typecast the value returned by get().
Triplets: (get(), returns, value)","(get(), returns, String instance)",1,2673,2674
