"Let each worker listen to dedicated broadcast channel, and dispatch the message from the main channel to each dedicated broadcast channel.","['Collaboration: (main channel, dispatches message to, broadcast channel)']","['(type, Collaboration, type): (main channel, dispatches message to, broadcast channel)']"
In your example the slice argument of the Test function receives a copy of the variable a in the caller's scope.,"['Dependency: (Test, receives, slice)', 'Conversion: (slice, copy of, a)']","['(func, Dependency, type): (Test, receives, slice)', '(type, Conversion, var): (slice, copy of, a)']"
"For instance, if the deferred function is a function literal and the surrounding function has named result parameters that are in scope within the literal, the deferred function may access and modify the result parameters before they are returned.","['Collaboration: (deferred, modifies, function)', 'Dependency: (deferred, relies on, function literal)', 'Containment: (function, includes, function literal)']","['(func, Collaboration, func): (deferred, modifies, function)', '(func, Dependency, func): (deferred, relies on, function literal)', '(func, Containment, func): (function, includes, function literal)']"
Write config functions for hooking packages up to each other at run time rather than compile time,"['Collaboration: (config functions, hook up, packages)']","['(func, Collaboration, package): (config functions, hook up, packages)']"
" Upon exiting from Test, the slice variable goes out of scope and so does the (new) underlying array that slice references","['Dependency: (Test, relies on, slice)', 'Dependency: (Test, relies on, array)', 'Dependency: (slice, references, array)']","['(func, Dependency, var): (Test, relies on, slice)', '(func, Dependency, type): (Test, relies on, array)', '(var, Dependency, type): (slice, references, array)']"
"If you want to write reusable libraries, they can't import myapp/conf; they need to accept all the info they need in constructors, etc",,[]
"Remember to close your dispatcher routine as well, but I will leave it to you :)","['Dependency: (dispatcher, relies on the operation of, routine)']","['(var, Dependency, type): (dispatcher, relies on the operation of, routine)']"
That gives you a nice design--everything's in an object and callers can create multiple Servers in a process and such--but it also offers a lazy way to configure in the simple single-server case,,[]
"Please read this article thoroughly as it basically shows you how to implement append by hand, after explaining how slices are working internally","['Dependency: (append, relies on, slices)']","['(func, Dependency, type): (append, relies on, slices)']"
"If you're depending on a package for just a type name, maybe you can avoid that","['Dependency: (package, relies on, type)']","['(package, Dependency, type): (package, relies on, type)']"
"One app I work on in another language has a ""utils"" module mixing general tasks (e.g., formatting datetimes or working with HTML) with app-specific stuff (that depends on the user schema, etc.)",,[]
Maybe some code handling a []Page can get instead use a []string of filenames or a []int of IDs or some more general interface (sql.Rows) instead,"['Replacement: ([]Page, replaced by, []string)', 'Replacement: ([]Page, replaced by, []int)', 'Replacement: ([]Page, replaced by, sql.Rows)']","['(type, Replacement, type): ([]Page, replaced by, []string)', '(type, Replacement, type): ([]Page, replaced by, []int)', '(type, Replacement, type): ([]Page, replaced by, sql.Rows)']"
"Since a slice variable holds a ""slice descriptor"" which merely references an underlying array, in your Test function you modify the slice descriptor held in the slice variable several times in a row, but this does not affect the caller and its a variable.","['Containment: (slice, references, array)', 'Dependency: (slice, modified by, Test)', 'Containment: (slice, descriptor held in, variable)', 'Difference: (array, behavior differs from, Test)', 'Containment: (array, indirectly referenced by, variable)', 'Limitation: (Test, does not affect, variable)']","['(type, Containment, type): (slice, references, array)', '(type, Dependency, func): (slice, modified by, Test)', '(type, Containment, var): (slice, descriptor held in, variable)', '(type, Difference, func): (array, behavior differs from, Test)', '(type, Containment, var): (array, indirectly referenced by, variable)', '(func, Limitation, var): (Test, does not affect, variable)']"
"Consider having 'schema' packages with just pure data types and interfaces, so User is separate from code that might load users from the database","['Containment: (schema, includes, User)  ', 'Difference: (User, separate from, schema)']","['(unknown, Containment, unknown): ((schema, includes, User)  )', '(type, Difference, package): (User, separate from, schema)']"
"The initial namespace for symbols you define in x/foo.go or x/bar.go is just package x, and it's not that hard to split/join files as needed, especially with the help of a utility like goimports.","['Dependency: (x, relies on, goimports)']","['(package, Dependency, func): (x, relies on, goimports)']"
"It's great if you can push ""down"" utilities into libraries that are independent and feel like their own polished products, or cleanly layer your application itself (e.g., UI sits atop an API sits atop some core libraries and data models)","['Dependency: (UI, sits atop, API)']","['(type, Dependency, type): (UI, sits atop, API)']"
"Your routes, database, and constants packages sound like low-level pieces that should be imported by your app code and not import it.","['Containment: (app code, imports, routes)', 'Containment: (app code, imports, database)', 'Containment: (app code, imports, constants)']","['(unknown, Containment, package): (app code, imports, routes)', '(unknown, Containment, package): (app code, imports, database)', '(unknown, Containment, package): (app code, imports, constants)']"
"The compiler will analyze the code and if the address (pointer) escapes the function, it will automatically be allocated on the heap (and not on the stack)","['Limitation: (pointer, allocated not on, stack)', 'Containment: (pointer, allocated on, heap)', 'Difference: (heap, different from, stack)']","['(type, Limitation, type): (pointer, allocated not on, stack)', '(type, Containment, type): (pointer, allocated on, heap)', '(type, Difference, type): (heap, different from, stack)']"
Pass app behavior via interfaces or funcs: http can be passed custom implementations of Handler (of course) but also CookieJar or File,"['Collaboration: (Handler, interacts with, CookieJar)', 'Collaboration: (Handler, interacts with, File)']","['(type, Collaboration, type): (Handler, interacts with, CookieJar)', '(type, Collaboration, type): (Handler, interacts with, File)']"
You could make a myapp/routes package that imports router and all your views and calls router.Register,"['Collaboration: (myapp/routes, calls, Register)']","['(package, Collaboration, method): (myapp/routes, calls, Register)']"
"So my utils above might be broken up by topic or dependency (e.g., strutil, dbutil, etc.)","['Dependency: (strutil, relies on, dbutil)']","['(package, Dependency, package): (strutil, relies on, dbutil)']"
"Here, I'd rearrange things so the router doesn't need to include the routes: instead, each app package calls a router.Register() method","['Collaboration: (router.Register(), calls method on, app)']","['(method, Collaboration, package): (router.Register(), calls method on, app)']"
"You use the field with the generic type T in a type-switch, and temporarily set the values with concrete types into an interface{}/any","['Conversion: (T, temporarily set values, interface{})']","['(type, Conversion, type): (T, temporarily set values, interface{})']"
Say two entities in your app have a many-to-many relationship like Users and Groups,"['Collaboration: (Users, has a many-to-many interaction with, Groups)']","['(type, Collaboration, type): (Users, has a many-to-many interaction with, Groups)']"
"Export shortcut functions from your package if appropriate: In http, callers can either make and separately configure some http.Server objects, or call http.ListenAndServe(...) that uses a global Server","['Dependency: (http, relies on, http.Server)', 'Dependency: (http, utilizes, http.ListenAndServe(...))', 'Collaboration: (http.Server, works with, http.ListenAndServe(...))']","['(package, Dependency, type): (http, relies on, http.Server)', '(package, Dependency, func): (http, utilizes, http.ListenAndServe(...))', '(type, Collaboration, func): (http.Server, works with, http.ListenAndServe(...))']"
"On the other hand, net and net/url are separate because they have uses outside HTTP.","['Difference: (net, separate from, net/url)']","['(package, Difference, package): (net, separate from, net/url)']"
text/template and html/template can accept functions to be accessible from templates (in a FuncMap).,"['Collaboration: (text/template, works with, html/template)', 'Containment: (text/template, includes, FuncMap)', 'Containment: (html/template, includes, FuncMap)']","['(package, Collaboration, package): (text/template, works with, html/template)', '(package, Containment, type): (text/template, includes, FuncMap)', '(package, Containment, type): (html/template, includes, FuncMap)']"
"If you have to, just duct-tape it: You don't have to limit yourself to super-elegant config systems if you can't fit one to your app: maybe for some stuff a package ""myapp/conf"" with a global var Conf map[string]interface{} is useful","['Containment: (myapp/conf, includes, Conf)', 'Containment: (myapp/conf, includes, map[string]interface{})']","['(package, Containment, var): (myapp/conf, includes, Conf)', '(package, Containment, type): (myapp/conf, includes, map[string]interface{})']"
"If this still doesn't work, your culprit might be some weird system settings or a buggy IDE.","['Limitation: (system, imposes restrictions on, IDE)']","['(type, Limitation, type): (system, imposes restrictions on, IDE)']"
Then type-assert the interface back to T in order to return it,"['Conversion: (interface, transformed to, T)']","['(type, Conversion, type): (interface, transformed to, T)']"
"The error occurs because operations that involve a type parameter (including assignments and returns) must be valid for all types in its type set.
In case of string | int, there isn't a common operation to initialize their value from a string.","['Limitation: (string, imposes restrictions on operations with, int)  ', 'Difference: (string, no common operation exists with, int)  ']","['(unknown, Limitation, unknown): ((string, imposes restrictions on operations with, int)  )', '(unknown, Difference, unknown): ((string, no common operation exists with, int)  )']"
"However, you could change one or both of those return, say, a []uint of IDs or a sql.Rows or some other interface you can get to without importing a specific object type","['Replacement: ([]uint, replaced by, sql.Rows)', 'Replacement: ([]uint, replaced by, interface)', 'Replacement: (sql.Rows, replaced by, interface)']","['(type, Replacement, type): ([]uint, replaced by, sql.Rows)', '(type, Replacement, type): ([]uint, replaced by, interface)', '(type, Replacement, type): (sql.Rows, replaced by, interface)']"
"If they live in different packages (a big 'if'), you can't have both u.Groups() returning a []group.Group and g.Users() returning []user.User because that requires the packages to import each other","['Limitation: (u.Groups(), restricted by package dependency, g.Users())', 'Limitation: (g.Users(), restricted by package dependency, u.Groups())']","['(method, Limitation, method): (u.Groups(), restricted by package dependency, g.Users())', '(method, Limitation, method): (g.Users(), restricted by package dependency, u.Groups())']"
"However, for the next block you need a pointer to the variables you're assigning the input to","['Dependency: (variables, rely on, pointer)']","['(var, Dependency, unknown): (variables, rely on, pointer)']"
"Have a look at the docs for encoding/json.Marshal.
It discusses using struct field tags to determine how the generated json is formatted.","['Containment: (struct, includes field tags, encoding/json.Marshal)']","['(type, Containment, func): (struct, includes field tags, encoding/json.Marshal)']"
You should not be using the default *http.Client structure in production as this answer originally demonstrated! (Which is what http.Get/etc call to),"['Containment: (http.Get, is part of, http.Client)']","['(func, Containment, type): (http.Get, is part of, http.Client)']"
"Depending on your use case, types like User and Group might be so intimately related that it's better just to put them in one package, but if you decide they should be distinct, this is a way","['Collaboration: (User, intimately related to, Group)', 'Containment: (User, included within, package)', 'Containment: (Group, included within, package)']","['(type, Collaboration, type): (User, intimately related to, Group)', '(type, Containment, package): (User, included within, package)', '(type, Containment, package): (Group, included within, package)']"
We need to make sure we can Set the struct field,"['Containment: (Set, field of, struct)']","['(method, Containment, type): (Set, field of, struct)']"
"The Go reflect package has a CanSet function, which, if true, implies that CanAddr is also true.","['Containment: (reflect, includes, CanSet())', 'Containment: (reflect, includes, CanAddr())', 'Dependency: (CanSet(), implies, CanAddr())']","['(package, Containment, func): (reflect, includes, CanSet())', '(package, Containment, func): (reflect, includes, CanAddr())', '(func, Dependency, func): (CanSet(), implies, CanAddr())']"
The go tool builds source packages and installs the resulting binaries to the pkg and bin directories.,"['Collaboration: (go, builds and installs, pkg)', 'Collaboration: (go, builds and installs, bin)']","['(package, Collaboration, package): (go, builds and installs, pkg)', '(package, Collaboration, package): (go, builds and installs, bin)']"
"Put the main package in the root of the repo.
Have the assets in a subdirectory (to keep things neat).
Keep the meat of the code in a subpackage (in case anyone wants to reuse it outside your binary).
Include a setup script in the root of the repo so it's easy to find.","['Containment: (package, includes, subpackage)']","['(package, Containment, package): (package, includes, subpackage)']"
Users can install your 鈥渁dder鈥?application binaries with 鈥済o get鈥?using an ellipsis:,"['Limitation: (ellipsis, imposes restrictions on, go)']","['(type, Limitation, package): (ellipsis, imposes restrictions on, go)']"
"Usually my project鈥檚 types are all very related so it fits better from a usability and API standpoint.
These types can also take advantage of calling unexported between them which keeps the API small and clear.","['Limitation: (unexported, keeps small and clear, API)', 'Collaboration: (types, related to, API)']","['(method, Limitation, package): (unexported, keeps small and clear, API)', '(type, Collaboration, package): (types, related to, API)']"
"I highly recommend not structuring the repo the way you have, it'll break ""go get"", which is one of the most useful things about Go.
It's far better to write your code for people who do know Go, since they're most likely to be the ones compiling it.
And for people who don't, they'll at least get a feel for the language.","['Limitation: (go get, imposes restriction on, Go)']","['(func, Limitation, type): (go get, imposes restriction on, Go)']"
"Sorry I just cant agree with this practice.
Separating type to files helps code management, readability, maintenancability, testability.
It may also ensure single responsibility and the follow of open/closed principle鈥nThe rule for not allowing circular dependency is to force we have a clear structure of the packages.","['Limitation: (type, restricts, package)']","['(type, Limitation, package): (type, restricts, package)']"
"There is much more about multi-module repositories in the ""Multi-module Repositories"" FAQ section on the modules wiki","['Containment: (Multi-module Repositories, is included in, FAQ)']","['(type, Containment, type): (Multi-module Repositories, is included in, FAQ)']"
"Those articles are classics that pre-date the introduction of modules, but the philosophies in them still apply to how to arrange your packages within a module.","['Containment: (module, includes, package)']","['(type, Containment, package): (module, includes, package)']"
The src subdirectory typically contains multiple version control repositories (such as for Git or Mercurial) that track the development of one or more source packages.,"['containment: (src, contains, Git)', 'containment: (src, contains, Mercurial)', 'difference: (Git, differs from, Mercurial)']","['(package, containment, package): (src, contains, Git)', '(package, containment, package): (src, contains, Mercurial)', '(package, difference, package): (Git, differs from, Mercurial)']"
"If you have multiple local modules, you can point them at each other via replace directives or via the Go 1.18+ workspace feature, though those are more complex workflows than placing everything for a given project in a single module.","['Difference: (replace, more complex workflows, workspace)']","['(func, Difference, func): (replace, more complex workflows, workspace)']"
And the waitgroup you used in your example is a sufficient synchronization,,[]
"It's important for long-term evolution of code storage options that a repo can contain multiple modules, but it's almost certainly not something you want to do by default.","['Containment: (repo, can contain, modules)', 'Limitation: (repo, almost certainly not by default, modules)']","['(var, Containment, var): (repo, can contain, modules)', '(var, Limitation, var): (repo, almost certainly not by default, modules)']"
"And each goroutine only modifies a single, different, designated slice element",,[]
"If the module path in the first line of that go.mod reads module example.com/foo, then pkg1 would import its peer package as import ""example.com/foo/pkg2"".","['Containment: (example.com/foo, includes, example.com/foo/pkg2)']","['(package, Containment, package): (example.com/foo, includes, example.com/foo/pkg2)']"
"For example, if a module declared its identity in its go.mod as module github.com/my/repo, and you had this organization:","['Containment: (go.mod, contains, module github.com/my/repo)']","['(type, Containment, package): (go.mod, contains, module github.com/my/repo)']"
"A
value is addressable if it is an
element of a slice, an element of an
addressable array, a field of an
addressable struct, or the result of
dereferencing a pointer","['Containment: (slice, includes, array)', 'Containment: (slice, includes, struct)', 'Containment: (slice, includes, pointer)', 'Containment: (array, includes, struct)', 'Containment: (array, includes, pointer)', 'Containment: (struct, includes, pointer)']","['(type, Containment, type): (slice, includes, array)', '(type, Containment, type): (slice, includes, struct)', '(type, Containment, type): (slice, includes, pointer)', '(type, Containment, type): (array, includes, struct)', '(type, Containment, type): (array, includes, pointer)', '(type, Containment, type): (struct, includes, pointer)']"
"If CanSet returns
false, calling Set or any
type-specific setter (e.g., SetBool,
SetInt64) will panic.","['Limitation: (CanSet, restricts usage of, Set)', 'Limitation: (CanSet, restricts usage of, SetBool)', 'Limitation: (CanSet, restricts usage of, SetInt64)']","['(method, Limitation, method): (CanSet, restricts usage of, Set)', '(method, Limitation, method): (CanSet, restricts usage of, SetBool)', '(method, Limitation, method): (CanSet, restricts usage of, SetInt64)']"
"Note that you cannot use relative import paths like import ""../pkg2"" or import ""./subpkg""","['Limitation: (pkg2, restricted by import path rules, subpkg)']","['(package, Limitation, package): (pkg2, restricted by import path rules, subpkg)']"
"For example, if your repo is github.com/my/repo, then you would place a single go.mod in the repo root, with the first line reading module github.com/my/repo","['Containment: (go.mod, includes, module)']","['(type, Containment, const): (go.mod, includes, module)']"
"A single module can be used to build multiple executable binaries, but the func main() {...} entry point for each binary must be in its own package main, with each package main in a distinct directory.","['Containment: (main, contains, main())']","['(package, Containment, func): (main, contains, main())']"
"If f is a value of type Foo, the expression f.A yields a function value of type func() with implicit receiver value f.","['Conversion: (Foo, yields function value of type, func())']","['(type, Conversion, func): (Foo, yields function value of type, func())']"
"In short, you can mix and match methods with value receivers and methods with pointer receivers, and use them with variables containing values and pointers, without worrying about which is which","['Equivalence: (value, similar behavior, pointer)']","['(type, Equivalence, type): (value, similar behavior, pointer)']"
"Note that here the method receiver is implicit, it is saved with the function value passed to bar(), and so it is called without explicitly specifying it: m().","['Containment: (bar(), includes, m())']","['(func, Containment, method): (bar(), includes, m())']"
"You only pass the method name (with the type it belongs to) to bar(), and when calling it, you have to pass the actual receiver: m(f).","['Dependency: (bar(), relies on, m())']","['(func, Dependency, method): (bar(), relies on, m())']"
"If you are stuck right now with an error message related to modules or import paths, there's a very good chance the error will make much more sense after completing the tutorial.","['Dependency: (modules, rely on, import paths)']","['(package, Dependency, package): (modules, rely on, import paths)']"
The expression Foo.A yields a function equivalent to A but with an explicit receiver as its first argument; it has signature func(f Foo).,"['Conversion: (Foo, transformed into function, func(f Foo))']","['(type, Conversion, func): (Foo, transformed into function, func(f Foo))']"
"However, you can use other paths you like as GOPATH instead of $HOME/go in my sample.","['Replacement: (GOPATH, replaces, $HOME/go)']","['(var, Replacement, var): (GOPATH, replaces, $HOME/go)']"
"CanAddr returns true if the value's
address can be obtained with Addr.
Such values are called addressable","['Dependency: (CanAddr(), relies to obtain address with, Addr())']","['(method, Dependency, method): (CanAddr(), relies to obtain address with, Addr())']"
"The rule is simple: if multiple goroutines access a variable concurrently, and at least one of the accesses is a write, then synchronization is required.","['Dependency: (goroutines, access, variable)']","['(type, Dependency, var): (goroutines, access, variable)']"
"When you parse multiple templates at once, using Template.ParseFiles() or Template.ParseGlob(), then the templates will be named by the file names, and they will be associated automatically (the above mentioned functions return a single template.Template value, which holds all the parsed templates, associated)","['Collaboration: (Template.ParseFiles(), works with, Template.ParseGlob())']","['(method, Collaboration, method): (Template.ParseFiles(), works with, Template.ParseGlob())']"
"However, if methods with pointer receivers are needed to satisfy an interface, then only a pointer will be assignable to the interface 鈥?a value won't be valid.","['Limitation: (pointer, restricts assignability to, interface)']","['(type, Limitation, type): (pointer, restricts assignability to, interface)']"
"Structured variables of array, slice, and struct types have elements and fields that may be addressed individually","['Containment: (array, has elements, slice)', 'Containment: (array, has elements, struct)', 'Containment: (slice, has elements, struct)']","['(type, Containment, type): (array, has elements, slice)', '(type, Containment, type): (array, has elements, struct)', '(type, Containment, type): (slice, has elements, struct)']"
"You are allowed to read the slice once wg.Wait() returns, because that can only happen after all worker goroutines called wg.Done(), and none of the worker goroutines modify the elements after they called wg.Done().","['Dependency: (wg.Wait(), dependency on, wg.Done())']","['(method, Dependency, method): (wg.Wait(), dependency on, wg.Done())']"
"Test it and take A Tour of Go to learn more about methods and pointers, and the basics of Go at all.","['Containment: (Tour, part of, Go)', 'Collaboration: (Tour, learn about, methods)', 'Collaboration: (Tour, learn about, pointers)', 'Containment: (methods, included in, Go)', 'Containment: (pointers, included in, Go)']","['(package, Containment, package): (Tour, part of, Go)', '(package, Collaboration, method): (Tour, learn about, methods)', '(package, Collaboration, type): (Tour, learn about, pointers)', '(method, Containment, package): (methods, included in, Go)', '(type, Containment, package): (pointers, included in, Go)']"
"This tmpl field holds all other associated templates, templates that are visible to the template, and which can be referred to鈥搚es鈥揵y their names.","['Containment: (tmpl, holds, templates)', 'Containment: (tmpl, includes, template)']","['(var, Containment, type): (tmpl, holds, templates)', '(var, Containment, type): (tmpl, includes, template)']"
A generic function or type is instantiated by substituting type arguments for the type parameters,"['Instantiation: (function, instantiated by, type)']","['(func, Instantiation, type): (function, instantiated by, type)']"
"Then what happens here is that we assigned a new template.Template value to t, which was the result of parsing t2src, so that will be the default, but still both templates can be ""reached"" from it as they are associated","['Containment: (template.Template, includes, t)']","['(type, Containment, var): (template.Template, includes, t)']"
You can do this using the Select function from the reflect package:,"['Dependency: (Select, relies on, reflect)']","['(func, Dependency, package): (Select, relies on, reflect)']"
(I'm not even counting arrays being the building blocks of slices.),"['Containment: (arrays, building blocks of, slices)']","['(type, Containment, type): (arrays, building blocks of, slices)']"
"There are countless advantages of arrays over slices in certain situations, all of which together more than justify the existence of arrays (along with slices)","['Difference: (arrays, has advantages over, slices)']","['(type, Difference, type): (arrays, has advantages over, slices)']"
"Related to the previous, the array length may also serve a documentation purpose","['Containment: (array, includes, length)']","['(type, Containment, var): (array, includes, length)']"
"Now you have a compile-time guarantee that the value passed to your function will have exactly 4 bytes, no more and no less (which would be an invalid IPv4 address anyway).","['Limitation: (4 bytes, restricts, IPv4)']","['(type, Limitation, type): (4 bytes, restricts, IPv4)']"
"Also since the array length is part of the array type, arrays with different length are distinct types","['Containment: (array, part of, array length)']","['(type, Containment, type): (array, part of, array length)']"
"Inference used to work also in generic types, with the restriction that the type parameter list had to be non-empty","['Limitation: (generic, imposes restriction on, parameter)']","['(type, Limitation, type): (generic, imposes restriction on, parameter)']"
"For example the spec provides multiple shorthands for operating with pointers to arrays, while the same gives compile-time error in case of slices (because it's rare to use pointers to slices, if you still want / have to do it, you have to be explicit about handling it; read more in this answer).","['Difference: (array, difference in behavior, slice)', 'Limitation: (pointer, constraints on usage, slice)']","['(type, Difference, type): (array, difference in behavior, slice)', '(type, Limitation, type): (pointer, constraints on usage, slice)']"
"Being comparable means you can use arrays as keys in maps, but not slices","['Limitation: (slices, cannot be keys in maps, arrays)', 'Difference: (arrays, compared to, slices)']","['(type, Limitation, type): (slices, cannot be keys in maps, arrays)', '(type, Difference, type): (arrays, compared to, slices)']"
"Also since slices are headers and they are (almost) always passed around as-is (without pointers), the language spec is more restrictive regarding pointers to slices than pointers to arrays","['Limitation: (slice, more restrictive regarding pointers, array)']","['(type, Limitation, type): (slice, more restrictive regarding pointers, array)']"
Indexing a p pointer to array: p[i] is a shorthand for (*p)[i],"['Conversion: (pointer, expressed by, array)']","['(type, Conversion, type): (pointer, expressed by, array)']"
"you write a function which takes a parameter of type [4]int, you can't use that function to take and process an array of type [5]int), but this may also be an advantage: this may be used to explicitly specify the length of the array that is expected","['Limitation: ([4]int, restricted from taking, [5]int)']","['(type, Limitation, type): ([4]int, restricted from taking, [5]int)']"
Accessing (single) array elements is more efficient than accessing slice elements; as in case of slices the runtime has to go through an implicit pointer dereference,"['Difference: (slice, compared to, array)']","['(type, Difference, type): (slice, compared to, array)']"
"In this case, MyStruct implements Getter only when it is instantiated with the necessary concrete type:","['Satisfaction: (MyStruct, fulfills contract of, Getter)']","['(type, Satisfaction, type): (MyStruct, fulfills contract of, Getter)']"
And this is just for curiosity: a slice can contain itself while an array can't,"['Difference: (slice, can contain itself whereas, array)  ', 'Limitation: (array, cannot contain itself, slice)']","['(unknown, Difference, unknown): ((slice, can contain itself whereas, array)  )', '(type, Limitation, type): (array, cannot contain itself, slice)']"
"Note: When ranging over a complete array vs a complete slice, there may be no performance difference at all as obviously it may be optimized so that the pointer in the slice header is only dereferenced once","['Difference: (array, compared to, slice)', 'Equivalence: (array, no performance difference with, slice)']","['(type, Difference, type): (array, compared to, slice)', '(type, Equivalence, type): (array, no performance difference with, slice)']"
See related questions where an array can be used / makes more sense than a slice:,"['Replacement: (array, used instead of, slice)']","['(type, Replacement, type): (array, used instead of, slice)']"
"So in your case, the mental exercise of replacing the type params with concrete types gives that Dao[ReturnType] has method FindOne(id string) *ReturnType","['Dependency: (Dao[ReturnType], relies on, FindOne(id string) *ReturnType)']","['(type, Dependency, method): (Dao[ReturnType], relies on, FindOne(id string) *ReturnType)']"
"Also ""the expressions len(s) and cap(s) are constants if the type of s is an array or pointer to an array"".","['Limitation: (len(), constraints if type is, array)', 'Limitation: (len(), constraints if type is, pointer to an array)', 'Limitation: (cap(), constraints if type is, array)', 'Limitation: (cap(), constraints if type is, pointer to an array)']","['(func, Limitation, type): (len(), constraints if type is, array)', '(func, Limitation, type): (len(), constraints if type is, pointer to an array)', '(func, Limitation, type): (cap(), constraints if type is, array)', '(func, Limitation, type): (cap(), constraints if type is, pointer to an array)']"
"In some cases it is even taken out and is available, documented separately; for example in the crypto/md5 package: md5.Sum() returns a value of type [Size]byte where md5.Size is a constant being 16: the length of an MD5 checksum.","['Containment: (crypto/md5, includes, md5.Sum())', 'Containment: (crypto/md5, includes, [Size]byte)', 'Containment: (crypto/md5, includes, md5.Size)', 'Dependency: (md5.Sum(), returns, [Size]byte)', 'Equivalence: ([Size]byte, same length as, md5.Size)']","['(package, Containment, func): (crypto/md5, includes, md5.Sum())', '(package, Containment, type): (crypto/md5, includes, [Size]byte)', '(package, Containment, const): (crypto/md5, includes, md5.Size)', '(func, Dependency, type): (md5.Sum(), returns, [Size]byte)', '(type, Equivalence, const): ([Size]byte, same length as, md5.Size)']"
"This will return you a cancel() function which may be used to cancel (or more precisely signal the cancel intent) to the worker goroutines.
And in the worker goroutines you have to check if such intent has been initiated, by checking if the channel returned by Context.Done() is closed, easiest done by attempting to receive from it (which proceeds immediately if it is closed)","['Dependency: (cancel(), relies on, Context.Done())']","['(func, Dependency, method): (cancel(), relies on, Context.Done())']"
(Remove the timing and printing calls from getSlice() and getMap() of course.),"['Containment: (getSlice(), contains timing and printing calls, getMap())']","['(func, Containment, func): (getSlice(), contains timing and printing calls, getMap())']"
"Pass the -benchmem argument, and inside the benchmark function allocate only whose memory you want to measure:","['Limitation: (-benchmem, sets boundary, benchmark)']","['(const, Limitation, func): (-benchmem, sets boundary, benchmark)']"
Why can't Go slice be used as keys in Go maps pretty much the same way arrays can be used as keys?,"['Difference: (slice, cannot be used as keys like, array)', 'Limitation: (slice, restricted as keys in, maps)', 'Containment: (array, can be used as keys in, maps)']","['(type, Difference, type): (slice, cannot be used as keys like, array)', '(type, Limitation, type): (slice, restricted as keys in, maps)', '(type, Containment, type): (array, can be used as keys in, maps)']"
You create a context capable of publishing cancelation signals with context.WithCancel() (parent context may be the one returned by context.Background()),"['Dependency: (context.WithCancel(), relies on, context.Background())', 'Containment: (context.WithCancel(), is part of, context)']","['(func, Dependency, func): (context.WithCancel(), relies on, context.Background())', '(func, Containment, package): (context.WithCancel(), is part of, context)']"
unsafe.SizeOf() and reflect.Type.Size() only return the size of the passed value without recursively traversing the data structure and adding sizes of pointed values.,"['Difference: (unsafe.SizeOf(), distinction in return value behavior, reflect.Type.Size())']","['(func, Difference, method): (unsafe.SizeOf(), distinction in return value behavior, reflect.Type.Size())']"
And attempting to close an already closed channel panics (see details here: How does a non initialized channel behave?),"['Limitation: (channel, imposes panic, panic)']","['(type, Limitation, func): (channel, imposes panic, panic)']"
"Most likely you used a wrong layout, and you didn't check the returned error.","['Dependency: (layout, causes, error)']","['(type, Dependency, var): (layout, causes, error)']"
On my 64-bit architecture (where the size of int is 8 bytes) it tells that the size of a slice having 2000 elements is roughly 16 KB (in line with 2000 * 8 bytes),"['Containment: (slice, contains, int)']","['(type, Containment, type): (slice, contains, int)']"
"As pointed out (and hopefully unsurprisingly), using if+else is indeed the idiomatic way to do conditionals in Go.","['Collaboration: (if, works with, else)']","['(type, Collaboration, type): (if, works with, else)']"
"Experience with other languages
  told us that having a variety of
  methods with the same name but
  different signatures was occasionally
  useful but that it could also be
  confusing and fragile in practice.
  Matching only by name and requiring
  consistency in the types was a major
  simplifying decision in Go's type
  system.","['Limitation: (method, restrictions consistency in, types)', 'Difference: (method, compared to, types)']","['(type, Limitation, type): (method, restrictions consistency in, types)', '(type, Difference, type): (method, compared to, types)']"
"The cool part about go is that you can even implement this interface on primitive types, as long as the type is defined in the same package","['Limitation: (interface, defined in, package)']","['(type, Limitation, package): (interface, defined in, package)']"
Go does not have optional parameters nor does it support method overloading:,"['Difference: (optional parameters, differs from, method overloading)']","['(type, Difference, method): (optional parameters, differs from, method overloading)']"
The sort package contains a function sort(data Interface) that expects any object that implements this interface,"['Containment: (sort, contains, Interface)', 'Dependency: (sort(), depends on, Interface)']","['(package, Containment, type): (sort, contains, Interface)', '(func, Dependency, type): (sort(), depends on, Interface)']"
"Update: as of >= Go 1.11, the Module system is now a standard part of the tooling and the GOPATH concept is close to becoming obsolete","['Replacement: (Module, successor of, GOPATH)']","['(package, Replacement, package): (Module, successor of, GOPATH)']"
Because file API has changed recently and most other answers don't work with Go 1,"['Limitation: (file, imposes restrictions on, API)', 'Difference: (file, changes compared to, API)']","['(type, Limitation, package): (file, imposes restrictions on, API)', '(type, Difference, package): (file, changes compared to, API)']"
"The only 3 spec-related directories are the 3 in the root of your GOPATH:  bin, pkg, src ","['Containment: (pkg, is part of, src)']","['(package, Containment, package): (pkg, is part of, src)']"
"If the returned error is nil, the Response will contain a non-nil Body which the user is expected to close","['Containment: (Response, includes, Body)']","['(type, Containment, type): (Response, includes, Body)']"
Also is it safe to put in defer resp.Body.Close() immediately after getting the response object?,"['Dependency: (defer, ensures execution of, resp.Body.Close())']","['(keyword, Dependency, method): (defer, ensures execution of, resp.Body.Close())']"
