Text,Label1,Label2,Relations
"If multiple threads are awakened using notifyAll() only one awakened thread at a time can exit the wait() method, since each thread must obtain the lock on the monitor object in turn before exiting wait().","(notifyall(), collaboration, wait)","(notifyall(), collaboration, wait)","(notifyall(), collaboration, wait)"
"The AtomicBoolean class is located in the java.util.concurrent.atomic package, so the full class name is java.util.concurrent.atomic.AtomicBoolean .","(java.util.concurrent.atomic, contains, java.util.concurrent.atomic.atomicboolean)","(atomic, contains, atomicboolean)","(java.util.concurrent.atomic, contains, java.util.concurrent.atomic.atomicboolean)"
The AtomicStampedReference also contains a getStamp() method which can be used to obtain the internally stored stamp.,"(atomicstampedreference, contains, getstamp)","(atomicstampedreference, contains, getstamp)","(atomicstampedreference, contains, getstamp)"
You can read a Java long from the DataInputStream using its readLong() method.,"(datainputstream, uses, readlong)","(datainputstream, uses, readlong)","(datainputstream, uses, readlong)"
"Though the error may seem the same to method1() no matter which of method2() and method3() that called it, this may important to know for the developer investigating the error.",,,
You can write data to the TCP connection via the NetSocket write() method.,"(write, write data to, TCP connection)","(write, write data to, TCP connection)","(write, write data to, TCP connection)"
This is true even if the subclass is not located in the same package as the superclass.,,,
"The Java Stream allMatch() method is a terminal operation that takes a single Predicate as parameter, starts the internal iteration of elements in the Stream, and applies the Predicate parameter to each element.","(stream, includes, allmatch); (allmatch(), relies on, predicate)","(stream, includes, allmatch); (allmatch(), relies on, predicate)","(stream, includes, allmatch); (allmatch(), relies on, predicate)"
"Again, here the first() and next() methods return the unicode index of the found word boundary.","(first(), collaboration, next)","(first(), collaboration, next)","(first(), collaboration, next)"
"This class has a compareAndSet() function which will compare the value of the AtomicBoolean instance to an expected value, and if has the expected value, it swaps the value with a new value.","(atomicboolean, collaboration, compareandset)","(atomicboolean, collaboration, compareandset)","(atomicboolean, collaboration, compareandset)"
Notice how the readDataFromUrl() method no longer declares that it throws BadUrlException.,"(readdatafromurl, declares that it throws, badurlexception)","(readdatafromurl, declares that, badurlexception)","(readdatafromurl, declares that it throws, badurlexception)"
"As mentioned earlier, the DataInputStream class is often used together with a DataOutputStream.","(datainputstream, used together with, dataoutputstream)","(datainputstream, used with, dataoutputstream)","(datainputstream, used together with, dataoutputstream)"
FairLock creates a new instance of QueueObject and enqueue it for each thread calling lock().,"(fairLock, creates, queueobject); (fairLock, creates a new instance for, lock())","(fairLock, creates, queueobject); (fairLock, creates a new instance for, lock())","(fairLock, creates, queueobject); (fairLock, creates a new instance for, lock())"
By walking through all directories and deleting all files (inside visitFile()) in each directory and afterwards delete the directory itself (inside postVisitDirectory()) you can delete a directory with all subdirectories and files,"(visitfile(), collaboration, postvisitdirectory)","(visitfile(), collaboration, postvisitdirectory)","(visitfile(), collaboration, postvisitdirectory)"
The getResourceBundle() method returns the ResourceBundle (if any) used to localize the message of this LogRecord.,"(resourcebundle, used to localize, logrecord); (getresourceBundle(), return, resourceBundle)","(resourcebundle, used to localize, logrecord); (getresourceBundle(), return, resourceBundle)","(resourcebundle, used to localize, logrecord); (getresourceBundle(), return, resourceBundle)"
"But remember, a connection has been opened already when the DaoManager is instantiated, which happens before the doPersistenceAction() method is called.","(dopersistenceaction(), relies on, daomanager)","(dopersistenceaction(), relies on, daomanager)","(dopersistenceaction(), relies on, daomanager)"
The exception thrown when attempting to close the resource would be available inside the Throwable array returned by e.getSuppressed().,"(throwable, returned by, getsuppressed)","(throwable, returned by, getsuppressed)","(throwable, returned by, getsuppressed)"
"The RION Ops RionWriter class, com.nanosai.rionops.rion.write.RionWriter, enables you to write RION fields easily and efficiently.",,,
"The compareAndSet() method of the AtomicReferenceArray can compare the current reference stored in a given element with an expected reference, and if the references are the same, swap the current reference with a new reference.","(atomicreferencearray, contains, compareandset)","(atomicreferencearray, contains, compareandset)","(atomicreferencearray, contains, compareandset)"
"You don't need to know exactly what class a given object is of, as long as you know what interface it implements.",,,
"If the read() method returns -1, there is no more data to read in the FileReader, and it can be closed.","(read(), retrieves data from, filereader)","(read(), retrieves data from, filereader)","(read(), retrieves data from, filereader)"
The Java NIO Files class also contains a function for moving files from one path to another.,,,
Creating a Duration object is done using one of the Duration class factory methods.,,,
The getThrown() method returns the Throwable that was marked thrown when logging the message represented by this LogRecord.,"(getthrown(), returns, Throwable)","(getthrown(), returns, Throwable)","(getthrown(), returns, Throwable)"
"The Java FileWriter class is a subclass of the Java Writer class, by the way.","(filewriter, subclass of, writer)","(filewriter, subclass of, writer)","(filewriter, subclass of, writer)"
Exactly how to handle the calls to commit() and / or rollback() is covered in the JDBC Transactions Tutorial.,,,
Here is an example of reading a double from a Java DataInputStream using readDouble():,"(datainputstream, includes, readdouble)","(datainputstream, contain, readdouble)","(datainputstream, includes, readdouble)"
If Thread A is executing add() then Thread B cannot execute neither add() nor subtract() until Thread A has exited add().,"(add(), collaboration, subtract)","(add(), collaboration, subtract)","(add(), collaboration, subtract)"
"A class can override the implementation of a default method simply by implementing that method explicitly, as is done normally when implementing a Java interface.",,,
You can access the PublicKey of a KeyPair by calling its getPublic() method.,"(getpublic(), access, publickey)","(getpublic(), access, publickey)","(getpublic(), access, publickey)"
"If a thread (1) calls the parent.addChild(child) method at the same time as another thread (2) calls the child.setParent(parent) method, on the same parent and child instances, a deadlock can occur.","(addchild, limitation, setparent)","(addchild, limitation, setparent)","(addchild, limitation, setparent)"
The add() and offer() methods differ in how the behave if the Queue is full so no more elements can be added,"(add(), differ in behavior, offer)","(add(), differ in behavior, offer)","(add(), differ in behavior, offer)"
"Neither is the last reader.close() or the System.out.println(""--- File End ---""); statements.","(reader.close(), is different to, system.out.println)","(reader.close(), is different to, system.out.println)","(reader.close(), is different to, system.out.println)"
You can create a Java KeyStore instance by calling its getInstance() method.,"(getinstance, create, keyStore)","(getinstance, create, keyStore)","(getinstance, create, keyStore)"
The FilterWriter is a base class for implementing your own filtering Writer's.,"(filterwriter, is a base class for implementing, writer)","(filterwriter, is a base class for implementing, writer)","(filterwriter, is a base class for implementing, writer)"
Third the characters written to the StringWriter are obtained via the two methods toString() and getBuffer().,"(stringwriter, obtained via, tostring); (stringwriter, obtained via, getbuffer)","(stringwriter, obtained via, tostring); (stringwriter, obtained via, getbuffer)","(stringwriter, obtained via, tostring); (stringwriter, obtained via, getbuffer)"
"Remember, a Java class can only have 1 superclass, but it can implement multiple interfaces.",,,
Here is how the lockWrite() and unlockWrite() methods look after that change:,,,
Here is an example of obtaining the root directory path of a StreamStorageRootFS via its getRootDirPath() method:,"(streamstoragerootfs, obtain, getrootdirpath)","(streamstoragerootfs, obtain, getrootdirpath)","(streamstoragerootfs, obtain, getrootdirpath)"
Deque.removeLast() is different from pollLast() which returns null if the Deque is empty,"(deque.removelast(), is different from, polllast)","(deque.removelast(), different, polllast)","(deque.removelast(), is different from, polllast)"
The resolve() method will not allow any given ClassLoader instance to link the same class twice.,"(resolve(), given, classloader)","(resolve(), given, classloader)","(resolve(), given, classloader)"
"The Java PushbackInputStream is a subclass of the Java InputStream so it inherits its public methods - read(), close() etc.","(pushbackinputstream, is a subclass of, inputstream)","(pushbackinputstream, is a subclass of, inputstream)","(pushbackinputstream, is a subclass of, inputstream)"
Also notice how it is not necessary to cast the String instance returned by the get() method.,"(get(), returned by, string)","(get(), returned by, string)","(get(), returned by, string)"
You can check if a Java module is an open module or not via the ModuleDescriptor isOpen() method.,"(moduledescriptor, includes, isopen)","(moduledescriptor, includes, isopen)","(moduledescriptor, includes, isopen)"
"Thus, each Java class belongs to a package, and the package belongs to a module.",,,
An abstract class can have a mixture of abstract and non-abstract methods.,,,
"Then the thread executing the main() method (the main thread) sleeps for 10 seconds, and then calls the doStop() method of the MyRunnable instance.","(dostop, dependency, main)","(dostop, dependency, main)","(dostop, dependency, main)"
Here is an example of how to create a Duration object using the between() method:,"(between, create, duration)","(between, create, duration)","(between, create, duration)"
The Java Stream interface contains a static method called concat() which can concatenate two streams into one.,"(stream, contains, concat)","(stream, contains, concat)","(stream, contains, concat)"
Just like with the read() method the write() method advances the file pointer after being called.,"(read(), be similar with, write)","(read(), similar, write)","(read(), be similar with, write)"
As you can see both the waiting and notifying thread calls wait() and notify() from within a synchronized block.,"(wait(), works with, notify)","(wait(), works with, notify)","(wait(), works with, notify)"
The java.util.concurrent.CyclicBarrier class is a synchronization mechanism that can synchronize threads progressing through some algorithm.,,,
You open a JDBC Connection by call the java.sql.DriverManager class method getConnection().,"(java.sql.drivermanager, contains, getconnection)","(drivermanager, contains, getconnection)","(java.sql.drivermanager, contains, getconnection)"
It is possible to get a character at a certain index in a String using the charAt() method.,"(charat(), get a character, string)","(charat(), get a character, string)","(charat(), get a character, string)"
Here is an example of pausing a Java thread for 3 seconds (3.000 millliseconds) by calling the Thread sleep() method:,"(thread, pausing, sleep)","(thread, pausing, sleep)","(thread, pausing, sleep)"
Object.wait(long timeout) allows other threads to call wait() or notify() too since these methods must be called from inside a synchronized block,"(object.wait, allows, wait); (object.wait, allows, notify)","(object.wait, allows, wait); (object.wait, allows, notify)","(object.wait, allows, wait); (object.wait, allows, notify)"
"This example creates a BreakIterator targeted at the British language, and sets the text to find character breaks in using the setText() method.","(breakiterator, creates, settext)","(breakiterator, creates, settext)","(breakiterator, creates, settext)"
The Java CharArrayWriter class (java.io.CharArrayWriter) makes it possible to write characters via the Writer methods (CharArrayWriter is a subclass of Writer) and convert the written characters into a char array.,"(chararraywriter, subclass of, writer)","(chararraywriter, subclass of, writer)","(chararraywriter, subclass of, writer)"
"You create a Java Mac instance by calling the Mac.getInstance() method, passing as parameter the name of the algorithm to use.","(mac.getInstance(), create, mac)","(mac.getInstance(), create, mac)","(mac.getInstance(), create, mac)"
"Notice however, that since the MyRunnable class is not a subclass of Thread, it does not have access to the getName() method of the thread executing it.",,,
You do so by calling the Cipher update() or doFinal() methods.,"(cipher.update(), equivalence, cipher.dofinal)","(cipher.update(), equivalence, cipher.dofinal)","(cipher.update(), equivalence, cipher.dofinal)"
"If a method declares that it throws an exception A, then it is also legal to throw subclasses of A.","","",""
Here is an example of how to use a IResultSetProcessor with the read() methods:,"(iresultsetprocessor, collaboration, read)","(iresultsetprocessor, collaboration, read)","(iresultsetprocessor, collaboration, read)"
FileInputStream is a subclass of InputStream so it is safe to assign an instance of FileInputStream to an InputStream variable (the inputstream variable).,"(fileinputstream, is a subclass of, inputstream)","(fileinputstream, is a subclass of, inputstream)","(fileinputstream, is a subclass of, inputstream)"
"If you need an integer value, use the round(), floor() or ceil() method.","(round(), similar in usage, floor); (round(), similar in usage, ceil); (floor(), similar in usage, ceil)","(round(), similar, floor); (round(), similar, ceil); (floor(), similar, ceil)","(round(), similar in usage, floor); (round(), similar in usage, ceil); (floor(), similar in usage, ceil)"
You can still call the other main() methods from inside the main() method the Java Virtual Machine executes (you haven't seen how yet) and you can also start up multiple virtual machines which each execute a single main() method.,,,
Deque.removeFirst() is different from pollFirst() which returns null if the Deque is empty,"(deque.removefirst(), is different from, pollfirst)","(deque.removefirst(), different, pollfirst)","(deque.removefirst(), is different from, pollfirst)"
"Each of the methods ceilingEntry(), floorEntry(), higherEntry() and lowerEntry() will be covered in the following sections.","(ceilingentry(), is covered with, floorentry()); (ceilingentry(), is covered with, higherentry()); (ceilingentry(), is covered with, lowerentry()); (floorentry(), is covered with, higherentry()); (floorentry(), is covered with, lowerentry()); (higherentry(), is covered with, lowerentry)","(ceilingentry(), similar, floorentry()); (ceilingentry(), similar, higherentry()); (ceilingentry(), similar, lowerentry()); (floorentry(), similar, higherentry()); (floorentry(), similar, lowerentry()); (higherentry(), similar, lowerentry)","(ceilingentry(), is covered with, floorentry()); (ceilingentry(), is covered with, higherentry()); (ceilingentry(), is covered with, lowerentry()); (floorentry(), is covered with, higherentry()); (floorentry(), is covered with, lowerentry()); (higherentry(), is covered with, lowerentry)"
"The pollFirst() method removes an element from the beginning of the Deque, just like poll().","(pollfirst(), similar to, poll)","(pollfirst(), similar, poll)","(pollfirst(), similar to, poll)"
"You can access the annotations of a class, method or field at runtime.",,,
Working with arrays via Java Reflection is done using the java.lang.reflect.Array class.,"(Java Reflection, collaboration, java.lang.reflect.array)","(Java Reflection, collaboration, java.lang.reflect.array)","(Java Reflection, collaboration, java.lang.reflect.array)"
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",,,
If the markSupported() method returns false then mark() and reset() are not supported.,"(marksupported(), dependency, mark); (marksupported(), dependency, reset)","(marksupported(), dependency, mark); (marksupported(), dependency, reset)","(marksupported(), dependency, mark); (marksupported(), dependency, reset)"
"If no field exists with the name given as parameter to the getField() method, a NoSuchFieldException is thrown.","(getfield(), relies on, nosuchfieldexception)","(getfield(), relies on, nosuchfieldexception)","(getfield(), relies on, nosuchfieldexception)"
"The headMap() method returns a view of the original NavigableMap which only contains elements that are ""less than"" the given element.","(navigablemap, returned, headmap)","(navigablemap, returned, headmap)","(navigablemap, returned, headmap)"
"Thus, some constructors may be available to all classes in your application, while other constructors are only available to classes in the same package, subclasses, or even only to the class itself (private constructors).",,,
"The bigger the result String grows, the longer it takes to copy the characters from it into a new StringBuilder, and again copy the characters from the StringBuilder into the temporary String created by the toString() method.",,,
Spin locks and the methods wait() and notify() are covered in more detail in the text Thread Signaling.,"(wait(), works with, notify)","(wait(), works with, notify)","(wait(), works with, notify)"
These two parameters are intended to tell from what class and method the log message originated.,,,
"Inside the while loop the example calls the method getMoreData() to get the next data to write to the OutputStream, and then writes that data to the OutputStream.","(getmoredata(), writes data to, outputstream)","(getmoredata(), writes data to, outputstream)","(getmoredata(), writes data to, outputstream)"
When the thread is done with the code in the critical section (the code between lock() and unlock()) the thread calls unlock(),"(unlock, relies on, lock)","(unlock, relies on, lock)","(unlock, relies on, lock)"
"The ReentrantLock isHeldByCurrentThread() method returns true if the Lock is held (locked) by the thread calling isHeldByCurrentThread(), and false if not.","(lock, relies on, isheldbycurrentthread)","(lock, relies on, isheldbycurrentthread)","(lock, relies on, isheldbycurrentthread)"
In an untyped AtomicStampedReference instance the set() method takes an Object reference as first parameter.,"(atomicstampedreference, relies on, set)","(atomicstampedreference, relies on, set)","(atomicstampedreference, relies on, set)"
A constructor is a special method that is called when an object of the given class is created (explained later).,"","",""
Collection.add(E e) is different from the offer() method which will return false if it cannot insert the element,"(collection.add, is different from, offer)","(collection.add, different, offer)","(collection.add, is different from, offer)"
"You receive data from a DatagramChannel by calling its receive() method, like this:","(datagramchannel, receive data from, receive)","(datagramchannel, receive data from, receive)","(datagramchannel, receive data from, receive)"
"The ArrayList again iterates all its elements and execute ""123"".equals(element) to determine if the element is equal to the parameter object ""123"".","(arraylist, relies on, equals)","(arraylist, relies on, equals)","(arraylist, relies on, equals)"
"When you have specified a generic type for a Java collection, that generic type also works for the Iterator returned by the iterator() method.","(iterator, returned, iterator)","(iterator, returned, iterator)","(iterator, returned, iterator)"
"To remove elements from a Java Queue, you call the remove() method.","(queue, remove elements using, remove)","(queue, remove elements using, remove)","(queue, remove elements using, remove)"
Here is an example of setting a mark in a ByteArrayInputStream via its mark() method:,"(bytearrayinputstream, setting a mark, mark)","(bytearrayinputstream, setting a mark, mark)","(bytearrayinputstream, setting a mark, mark)"
The BoundedSemaphore class shown below has two testandset methods take() and release(),"(boundedsemaphore, has, take); (boundedsemaphore, has, release)","(boundedsemaphore, has, take); (boundedsemaphore, has, release)","(boundedsemaphore, has, take); (boundedsemaphore, has, release)"
The lock() method locks the Lock instance so that all threads calling lock() are blocked until unlock() is executed.,"(lock(), relies on, unlock)","(lock(), relies on, unlock)","(lock(), relies on, unlock)"
The BoundedSemaphore class shown below has two test-and-set methods: take() and release().,"(boundedsemaphore, has, take); (boundedsemaphore, has, release)","(boundedsemaphore, has, take); (boundedsemaphore, has, release)","(boundedsemaphore, has, take); (boundedsemaphore, has, release)"
"Here are the two classes used in the example above, Counter and CounterThread.","(counter, simility, counterthread)","(counter, simility, counterthread)","(counter, simility, counterthread)"
"The Java Iterator forEachRemaining() method can iterate over all of the elements remaining in the Iterator internally, and for each element call a Java Lambda Expression passed as parameter to forEachRemaining() .","(forEachRemaining(), iterate elements in, Iterator)","(forEachRemaining(), iterate elements in, Iterator)","(forEachRemaining(), iterate elements in, Iterator)"
"The readBytes() method reads bytes from the file represented by the given StreamStorageBlockFS instance, into the byte[] array passed as parameter.","(readbytes(), relies on, streamstorageblockfs)","(readbytes(), relies on, streamstorageblockfs)","(readbytes(), relies on, streamstorageblockfs)"
You can obtain the length of a String using the length() method.,"(length(), obtain, string)","(length(), obtain, string)","(length(), obtain, string)"
The factory method Locale.forLanguageTag() can also be used to create a Locale instance.,"(locale.forlanguagetag(), create, locale)","(locale.forlanguagetag(), create, locale)","(locale.forlanguagetag(), create, locale)"
Here is an example of flushing data written to a Java OutputStreamWriter by calling its flush() method:,"(outputstreamwriter, relies on, flush)","(outputstreamwriter, relies on, flush)","(outputstreamwriter, relies on, flush)"
"But, no thread can actually execute unlock() until the thread waiting in lock() leaves the outer synchronized block.","(unlock(), execute after, lock)","(unlock(), execute after, lock)","(unlock(), execute after, lock)"
"You can also obtain an Iterator from many of the Java Collection data structures, e.g. a List, Set, Map, Queue, Deque or Map.","(iterator, obtain, collection); (iterator, obtain, list); (iterator, obtain, set); (iterator, obtain, map); (iterator, obtain, queue); (iterator, obtain, deque); (iterator, obtain, map)","(iterator, obtain, collection); (iterator, obtain, list); (iterator, obtain, set)","(iterator, obtain, collection); (iterator, obtain, list); (iterator, obtain, set); (iterator, obtain, map); (iterator, obtain, queue); (iterator, obtain, deque); (iterator, obtain, map)"
In a typed AtomicReference the set() method takes whatever type as parameter you declared as its type when you declared the AtomicReference.,"(atomicreference, includes, set)","(atomicreference, includes, set)","(atomicreference, includes, set)"
If you need an integer value use the round() floor() or ceil() method,"(round(), equivalence, floor); (round(), equivalence, ceil); (floor(), equivalence, ceil)","(round(), equivalence, floor); (round(), equivalence, ceil); (floor(), equivalence, ceil)","(round(), equivalence, floor); (round(), equivalence, ceil); (floor(), equivalence, ceil)"
"That you would not call wait() and notify() on an internal monitor object, but rather on the This is probably true.","(wait(), used with, notify)","(wait(), used with, notify)","(wait(), used with, notify)"
"Thus, at most N threads can pass the acquire() method without any release() calls, where N is the number of permits the semaphore was initialized with.","(acquire(), depends on, release)","(acquire(), depends on, release)","(acquire(), depends on, release)"
You can remove all entries in a Java Map using the clear() method.,"(map, depends on, clear)","(map, depends on, clear)","(map, depends on, clear)"
"the superclasses contain methods with the same names and parameters, multiple inheritance was left out in Java.",,,
"mutiple blocks from a large file, you call the update() once for each block of data, and finish with a call to doFinal() with the last data loce","(update(), collaboration, dofinal)","(update(), collaboration, dofinal)","(update(), collaboration, dofinal)"
This causes the MyObject class to be loaded by the same class loader that loaded the class this code is residing in.,,,
Creating a Matcher is done via the matcher() method in the Pattern class.,"(matcher, creation, matcher); (Pattern, includes, matcher)","(matcher, creation, matcher); (Pattern, includes, matcher)","(matcher, creation, matcher); (Pattern, includes, matcher)"
It is possible to use a class from another package without importing it with an import statement.,,,
"As parameters to the completed() method are passed an Integer telling how many bytes were read, and the ""attachment"" which was passed to the read() method.","(completed(), relies on, read)","(completed(), relies on, read)","(completed(), relies on, read)"
The Java BufferedWriter's flush() method flushes all data written to the BufferedWriter to the underlying data destination.,"(bufferedwriter, includes, flush); (flush, support, bufferedwriter)","(bufferedwriter, includes, flush); (flush, support, bufferedwriter)","(bufferedwriter, includes, flush); (flush, support, bufferedwriter)"
Here is an example of removing the first element of a Java Deque using the removeFirst() method:,"(deque, depends on, removefirst)","(deque, depends on, removefirst)","(deque, depends on, removefirst)"
The poll() and remove() both removes the first element in the Queue. They differ in how they behave if the Queue is empty. The poll() method returns null if the Queue is empty. The remove() method throws an exception if the Queue is empty.,"(poll(), differ in, remove); (queue, includes, poll); (queue, includes, remove)","(poll(), differ in, remove); (queue, includes, poll); (queue, includes, remove)","(poll(), differ in, remove); (queue, includes, poll); (queue, includes, remove)"
"Since count() returns a long, the Stream chain of non-terminal operations (the map() calls) is ended.","(count(), relies on, map)","(count(), relies on, map)","(count(), relies on, map)"
"You can declare a static initializer for the anonymous class instead, though.","","",""
Obviously if the input parameter to contains() is null the contains() method will not use the equals() method to compare against each element but rather use the == operator,"(contains(),use, equals)","(contains(),use, equals)","(contains(),use, equals)"
"If you need to match a text against a regular expression pattern more than one time, you need to create a Pattern instance using the Pattern.compile() method.","(Pattern.compile(), create, Pattern)","(Pattern.compile(), create, Pattern)","(Pattern.compile(), create, Pattern)"
"The tryLock(long timeout, TimeUnit timeUnit) works like the tryLock() method, except it waits up the given timeout before giving up trying to lock the Lock.",,,
"In other words, as a call to the get() method on the HttpRequestCache singleton.","(get(), call, httprequestcache)","(get(), call, httprequestcache)","(get(), call, httprequestcache)"
You can read a Java boolean from the DataInputStream using its readBoolean() method.,"(datainputstream, read, readboolean())","(datainputstream, read, readboolean())","(datainputstream, read, readboolean())"
"Then they are executed already when the class is loaded, and only once because the class is only loaded in the Java Virtual Machine once.",,,
A Java class may contain a mix of data (variables) and actions (methods).,"","",""
"In case a class contains more than one static synchronized method, only one thread can execute inside any of these methods at the same time.",,,
The class MyFilterImpl should be your own implementation of the Filter interface.,"(myfilterimpl, implementation of, filter)","(myfilterimpl, implementation of, filter)","(myfilterimpl, implementation of, filter)"
A Java Callable is different from a Runnable in that the Runnable interface run() method does not return a value and it cannot throw checked exceptions (only RuntimeExceptions),"(runnable, difference, callable);(run(), can not throw, RuntimeExceptions)","(runnable, difference, callable);(run(), can not throw, RuntimeExceptions)","(runnable, difference, callable);(run(), can not throw, RuntimeExceptions)"
The Statement executeQuery() method returns a Java JDBC ResultSet which can be used to navigate the response of the query.,"(executequery(), returns, resultset)","(executequery(), returns, resultset)","(executequery(), returns, resultset)"
"Since a Java String object can never be an instance of the Java Integer class, the Java compiler will catch this an give you an error.","(string, never be an instance of, integer)","(string, never be an instance of, integer)","(string, never be an instance of, integer)"
"Notice how method1() adds the code ""ERROR1"" to the thrown EnrichableException to uniquely identify that error cause.",,,
"The thread calling unlock() will take the top QueueObject in the queue and call doNotify() on it, to awaken the thread waiting on that object.","(unlock(), awakens, donotify())","(unlock(), awakens, donotify())","(unlock(), awakens, donotify())"
"AtomicReference even has an advanced compareAndSet() method which lets you compare the reference to an expected value (reference) and if they are equal, set a new reference inside the AtomicReference object.","(atomicreference, has, compareandset())","(atomicreference, has, compareandset())","(atomicreference, has, compareandset())"
The second getBytes() call return a UTF-8 byte representation of the String.,,,
"The Java InputStream class, java.io.InputStream, represents an ordered stream of bytes.",,,
You will normally use a Writer subclass rather than a Writer directly.,"","",""
"In the example above, the AutoClosableResource is configured to throw an exception both when doOp() is called, and when it is attempted closed (via close()).","(autoclosableresource, throw an exception when called, doop); (autoclosableresource, throw an exception when attempted closed, close)","(autoclosableresource, throw an exception when called, doop); (autoclosableresource, throw an exception when attempted closed, close)","(autoclosableresource, throw an exception when called, doop); (autoclosableresource, throw an exception when attempted closed, close)"
"The ReentrantLock isLocked() method returns true if the Lock is currently locked, and false if not.",,,
Unfortunately if an exception is thrown during the write() call in the example above that exception will cause the program flow to break before the close() method is called,"(write(), relies on, close())","(write(), relies on, close())","(write(), relies on, close())"
The getResourceBundleName() method returns the name of the ResourceBundle (if any) used to localize the message of this LogRecord.,"(getresourcebundlename(), returns, logrecord)","(getresourcebundlename(), returns, logrecord)","(getresourcebundlename(), returns, logrecord)"
Here is an example of removing the first element from a Java Deque using the poll() method:,"(deque, depends on, poll())","(deque, depends on, poll())","(deque, depends on, poll())"
"Notice how appendReplacement() is called inside the while(matcher.find()) loop, and appendTail() is called just after the loop.","(matcher.find(), called inside, appendreplacement()); (appendtail(), called just after, matcher.find())","(matcher.find(), called inside, appendreplacement()); (appendtail(), called just after, matcher.find())","(matcher.find(), called inside, appendreplacement()); (appendtail(), called just after, matcher.find())"
You close a FileInputStream by calling the close() method inherited from InputStream.,"(close(), close, FileInputStream); (close(), inherited from, InputStream)","(close(), close, FileInputStream); (close(), inherited from, InputStream)","(close(), close, FileInputStream); (close(), inherited from, InputStream)"
"Then the example creates a Path instance from this path string, and prints that Path instance out (actually it prints Path.toString()).","(path, creates, path.tostring())","(path, creates, path.tostring())","(path, creates, path.tostring())"
Sometimes you need a classpath which contains more than one directory or JAR file.,,,
"Since the Java FileOutputStream is a subclass of OutputStream, you can write arrays of bytes to the FileOutputStream too, instead of just a single byte at a time.","(fileoutputstream, is a subclass of, outputstream)","(fileoutputstream, is a subclass of, outputstream)","(fileoutputstream, is a subclass of, outputstream)"
"The bufferFull() method scans through the buffer, but must leave the buffer in the same state as before the bufferFull() method was called.",,,
The Java CharArrayReader class (java.io.CharArrayReader) enables you to read the contents of a char array as a character stream.,,,
"The Java OutputStreamWriter class, java.io.OutputStreamWriter, is intended to wrap an Java OutputStream and thereby turning the byte based output stream into a character based Writer.","(outputstreamwriter, turning into, writer); (outputstreamwriter, wrap, outputstream)","(outputstreamwriter, turning into, writer); (outputstreamwriter, wrap, outputstream)","(outputstreamwriter, turning into, writer); (outputstreamwriter, wrap, outputstream)"
"Inside the for loop the example accesses the elements in the List via its get() method, passing the incrementing variable i as parameter.","(get(), accesses, list)","(get(), access, list)","(get(), accesses, list)"
The problem with calling wait() and notify() on the empty string or any other constant string is that the JVMCompiler internally translates constant strings into the same object,"(wait(), communicates_with, notify())","(wait(), communicates, notify())","(wait(), communicates_with, notify())"
"The biggest difference between java.sql.Date and java.util.Date is that the java.sql.Date only keeps the date, not the time, of the date it represents.","(java.sql.date, difference, java.util.date)","(java.sql.date, difference, java.util.date)","(java.sql.date, difference, java.util.date)"
Here is an example of peeking at the first element of a Java Queue using the element() method:,,,
The JDBC Connection getMetaData() method returns a JDBC DatabaseMetaData object which can be used to introspect the database the JDBC Connection is connected to.,"(getMetaData(), returns, DatabaseMetaData);(DatabaseMetaData, introspect, Connection)","(getMetaData(), returns, DatabaseMetaData);(DatabaseMetaData, introspect, Connection)","(getMetaData(), returns, DatabaseMetaData);(DatabaseMetaData, introspect, Connection)"
The java.util.Logger class is the main access point to the Java logging API.,,,
"If the read() method returns -1, the end of stream has been reached, meaning there is no more data to read in the InputStream.","(read(), relies on, inputstream)","(read(), relies on, inputstream)","(read(), relies on, inputstream)"
The Java Collections API only has one implementation of the Java SortedSet interface - the java.util.TreeSet class.,"(java.util.treeset, implementation of, java.util.sortedset)","(java.util.treeset, implementation, java.util.sortedset)","(java.util.treeset, implementation of, java.util.sortedset)"
This method in turn calls the processURLData() in the URLProcessorImpl class.,"(urlprocessorimpl, includes, processurldata())","(urlprocessorimpl, called by, processurldata())","(urlprocessorimpl, includes, processurldata())"
"The Java NavigableSet interface, java.util.NavigableSet, is a subtype of the Java SortedSet interface.","(java.util.navigableset, is a subtype of, java.util.sortedset)","(java.util.navigableset, is a subtype of, java.util.sortedset)","(java.util.navigableset, is a subtype of, java.util.sortedset)"
"Similarly, when next() is called and returns false, the ResultSet is actually pointing after the last record.",,,
"You must always create an instance of some class that implements the interface, and reference that instance as an instance of the interface.",,,
Then an anonymous implementation of the Callable interface is created and passed to the schedule() method.,"(callable, implementation, schedule())","(callable, implementation, schedule())","(callable, implementation, schedule())"
Methods are operations that the class or instances of that class can perform.,,,
"The contains() method will return true if the Queue contains the given element, and false if not.",,,
"If the Deque is empty, peekFirst() returns null. This is similar to how peek() works, but the method name peekFirst() is a bit more saying about which end of the Deque you peek at.","(peekfirst(), similar to, peek)","(peekfirst(), similar, peek)","(peekfirst(), similar to, peek)"
The methods start() and end() will give the indexes into the text where the found match starts and ends.,"(start(), similar, end)","(start(), similar, end)","(start(), similar, end)"
"For instance, to create an Instant which represents this exact moment of now, call Instant.now(), like this:","(instant, created by, instant.now())","(instant, created by, instant.now())","(instant, created by, instant.now())"
