Sentence, Relation,Label 1,Label 2,Final
"So, as you can see, a combination of the hashCode() and equals() methods are used when storing and when looking up objects in a hashtable.","['(method, dependency, method): (hashcode(), used when storing and looking up, equals)', '(class, containment, method): (hashtable, storing and looking up, hashcode)', '(class, containment, method): (hashtable, storing and looking up, equals)']","F, F, F","F, F, F","F, F, F"
The RionWriter methods writeFloat32() and writeFloat64() writes a 32 bit and 64 bit floating point number as a RION Float field to the destination byte array.,"['(method, equivalence, method): (writefloat32(), writes a 32 bit floating point number, writefloat64)']",T,T,T
"Other times the nested class is visible outside its enclosing class, but can only be used in conjunction with the enclosing class.","['(class, containment, class): (enclosing class, includes, nested class)']",F,F,F
The original stop() method would not provide any guarantees about in what state the thread was stopped.,[],,,
The problem is that since the doNotify() call only calls notify() and not notifyAll() only one thread is awakened even if 4 threads are waiting on the same string instance (the empty string),"['(method, difference, method): (notify(), only calls, notifyall)']",T,F,T
Notice how a generic type is now also specified for the Iterator obtained from map.keySet().iterator().,"['(class, containment, method): (map, includes, keyset)', '(method, access, method): (iterator, obtained from, keyset)']","T, T","T, T","T, T"
"The compareAndSet() method is atomic, so only a single thread can execute it at the same time.",[],,,
"If your application contains multiple automatic modules, each automatic module can read the classes of all other automatic modules.",[],,,
Another way to create a ZonedDateTime object is to use the of() method which can create a ZonedDateTime object from a concrete date and time.,"['(method, creation, class): (of(), creates, zoneddatetime)']",T,T,T
There are also versions of the writeObjectBegin() and writeObjectEnd() method that does not use the internal nested field stack.,"['(method, difference, method): (writeobjectbegin(), does not use the internal nested field stack, writeobjectend)']",F ,F ,F 
Here is an example of reading a RION Int64 field using the RionReader readInt64() method:,[],,,
The reduce() method can reduce the elements of a stream to a single value.,[],,,
By far the best book on the java.util.concurrent package in Java 5 and forward.,[],,,
"Whenever you need to work with regular expressions in Java, you start with Java's Pattern class.",[],,,
The method name pollFirst() is just a bit more saying about from where the method removes elements.,[],,,
You can write the fully qualified class name instead of just the name of the class itself.,[],,,
If you want the value of a switch parsed into a long or double you can use the switchLongValue() and switchDoubleValue() methods.,"['(method, conversion, method): (switchlongvalue(), parsed into, switchdoublevalue)']",F,F,F
The Mem Ops ObjectPool class is capable of pooling instances of objects which can be reused.,[],,,
The AtomicInteger class contains a few methods you can use to add a value to the AtomicInteger and get its value returned.,"['(class, containment, method): (atomicinteger, contains, add)', '(class, containment, method): (atomicinteger, contains, get)']","F, F","F, F","F, F"
"If the read() method returns -1, the end of stream has been reached, meaning there is no more data to read in the InputStream.","['(method, dependency, class): (read(), relies on, inputstream)']",F,F,F
If unlockWrite() was not called from inside a finallyclause and an exception was thrown from the critical section the ReadWriteLock would remain write locked forever causing all threads calling lockRead() or lockWrite() on that ReadWriteLock instance to halt indefinately,"['(method, dependency, class): (unlockwrite(), relies on, readwritelock)', '(class, limitation, method): (readwritelock, imposes constraints on, lockread)', '(class, limitation, method): (readwritelock, imposes constraints on, lockwrite)']","T, T, T","T, T, T","T, T, T"
The BufferedWriter adds one extra method though: The newLine() method which can write a new-line character to the underlying Writer.,"['(class, containment, method): (bufferedwriter, adds, newline)', '(method, implementation, class): (newline(), write, writer)']","T, F","T, F","T, F"
You can use addBatch() and executeBatch() methods to execute batch updates.,"['(method, execution, method): (addbatch(), execute batch updates, executebatch)']",F,F,F
You can obtain the log level of a Logger using the getLevel() method:,"['(class, access, method): (logger, obtain, getlevel)']",T,T,T
Notice the two new methods in the MyState class named doSetup() and doTearDown().,[],,,
"Just like with classes, a Java interface can be declared public or package scope (no access modifier).","['(interface, containment, package): (interface, declared, package)']",F,F,F
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.","['(package, containment, interface): (java.util.concurrent, includes, blockingdeque)']",T,T,T
"In Java a type is either a class, an abstract class an interface, an enum or an annotation.","['(class, equivalence, interface): (class, is either, interface)', '(class, equivalence, class): (class, is either, enum)', '(class, equivalence, interface): (class, is either, annotation)', '(interface, equivalence, class): (interface, is either, enum)', '(interface, equivalence, interface): (interface, is either, annotation)', '(class, equivalence, interface): (enum, is either, annotation)']","T, T, T, T, T, T","T, T, T, T, T, T","T, T, T, T, T, T"
Here is an example of a Java class with two constructors:,[],,,
The Java String class contains a method named replace() which can replace characters in a String.,"['(class, containment, method): (string, contains, replace)']",T,T,T
Subclasses only need to worry about processing the data from the InputStream passed to the processURLData() method.,"['(method, dependency, class): (processurldata(), relies on, inputstream)']",T,T,T
"mutiple blocks from a large file, you call the update() once for each block of data, and finish with a call to doFinal() with the last data loce","['(method, dependency, method): (update(), relies on, dofinal)']",T,T,T
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class,"['(class, conversion, class): (fileoutputstream, convert to, outputstreamwriter)']",T,T,T
The call to unread() pushes a character back into the PushbackReader.,"['(class, containment, method): (pushbackreader, includes, unread)']",F,F,F
If compareAndSet() sets a new reference in the AtomicReference the compareAndSet() method returns true.,"['(method, modification, class): (compareandset(), sets a new reference in, atomicreference)']",T,T,T
Otherwise your code will not be able to call the unread() method on the PushbackInputStream.,"['(method, dependency, class): (unread(), relies on, pushbackinputstream)']",F,F,F
Notice the str variable after the String class name in the instanceof expression inside the if-statement.,[],,,
"Once the update() method writes a value to days, the newly written values to years and months are also written to main memory.",[],,,
"For instance, if a file already exists at the destination path, and you have left out the StandardCopyOption.REPLACE_EXISTING option, or if the file to move does not exist etc.",[],,,
You can find more information about creating and publishing a public key / priate key pair from the Sonatype producers page: https://central.sonatype.org/pages/producers.html.,[],,,
The Java NIO Files class also contains a function for moving files from one path to another.,"['(class, containment, method): (files, contains, move)']",T,T,T
The peekFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,"['(method, access, interface): (peekfirst(), returns, deque)']",T,T,T
"The various Handler's in the Java Logging API use either of these two Formatter's by default, but you can also set your own custom Formatter subclass on a Handler.","['(class, dependency, class): (handler, use, formatter)']",F,F,F
It is not important how this class looks in order to understand how the FrameExchanger works.,[],,,
"The main disadvantage of the assembly line concurrency model is that the execution of a job is often spread out over multiple workers, and thus over multiple classes in your project.",[],,,
By calling the get() method the request object associated with the calling thread can be obtained.,"['(method, access, class): (get(), obtain, request)']",T,T,T
This for-loop is shorter than original while-loop where you would iterate the collections Iterator and call Iterator.next() to obtain the next instance.,"['(class, access, method): (iterator, obtain, iterator.next)']",T,T,T
"As you can imagine, only the execute() method will grow as the number of localized dependencies grow.",[],,,
When checking for tables with similar names to the class to map only the class name itself is used.,[],,,
"Sometimes a nested class is only visible to the enclosing class, is only used internally, and is thus never visible outside the enclosing class.","['(class, containment, class): (enclosing class, includes, nested class)']",F,T,T
Each character returned from read() is thus returned from this internal array.,[],,,
"If you do not need to hook into all of these methods, you can extend the SimpleFileVisitor class, which contains default implementations of all methods in the FileVisitor interface.","['(class, implementation, interface): (simplefilevisitor, extend, filevisitor)']",T,T,T
In the following section I will explain how the compareTo() method works.,[],,,
Notice that there is no explicit close() call on the StringReader.,"['(class, dependency, method): (stringreader, relies on, close)']",F,F,F
Sending the header in a separate roundtrip (the first) can be smart if the server can do some initial pre-validation of e.g.,[],,,
The assertSame() and assertNotSame() methods tests if two object references point to the same object or not.,[],,,
"When there is no more data to read from the second InputStream, the SequenceInputStream read() method will return -1, just like any other InputStream does.","['(class, dependency, class): (sequenceinputstream, relies on, inputstream)']",T,T,T
Java's builtin Class loaders always checks if a class is already loaded before loading it.,[],,,
"If the two objects are equal according to their implementation of their equals() method, the assertEquals() method will return normally.","['(method, equivalence, method): (equals(), equal according to their implementation, assertequals)']",T,T,T
"If you need to set a date + time on a java.sql.PreparedStatement or get a date + time from a java.sql.ResultSet, you will interact with java.sql.Timestamp.","['(class, collaboration, class): (java.sql.preparedstatement, interact with, java.sql.timestamp)', '(class, collaboration, class): (java.sql.resultset, interact with, java.sql.timestamp)']",T,T,T
"The Java instanceof operator also evaluates to true when comparing an object against a superinterface which the class of the object, or a superclass of the object implements.","['(class, implementation, interface): (object, implements, superinterface)', '(class, implementation, interface): (class, implements, superinterface)', '(class, implementation, interface): (superclass, implements, superinterface)']","T, T, F","T, T, F","T, T, F"
The ObjectMappingKey class has some static shortcut factory methods to create object mapping keys that has custom object mappers for auto-generated columns.,"['(class, creation, method): (objectmappingkey, create, object mapping keys)']",T,T,T
The DateTimeFormatter is located in the java.time.format package so the fully qualified class name is java.time.format.DateTimeFormatter.,"['(package, containment, class): (java.time.format, includes, java.time.format.datetimeformatter)']",T,T,T
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called,"['(method, difference, method): (notify(), do not save the method calls, notifyall)']",F,F,F
In order to calculate a message digest of some data you call the update() or digest() method.,"['(method, dependency, method): (update(), relies on, digest)']",F,F,F
"Having discussed sources, destinations, input, output and the various IO purposes targeted by the Java IO classes, here is a table listing most (if not all) Java IO classes divided by input, output, being byte based or character based, and any more specific purpose they may be addressing, like buffering, parsing etc.",[],,,
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,"['(class, implementation, method): (atomicboolean, implement, lock)']",F,T,T
"For instance, if a method in the superclass is public then it must be public in the subclass too, in case the subclass overrides the method.","['(class, modification, method): (subclass, overrides, method)']",F,F,F
"Both threads execute the run() method, and thus sets different values on the ThreadLocal instance.","['(method, execution, class): (run(), execute, threadlocal)']",T,T,T
The first way to implement a resizable buffer is to start with a small buffer of e.g.,[],,,
Specifying a generic type of the Set returned by Set.of() looks like this:,[],,,
"However, even if synchronized blocks are reentrant, the Lock class shown earlier is not reentrant.",[],,,
You can list all entries contained in a ZipFile using the entries() method.,[],,,
The InputStream obtained from the getInputStream() of the ZipFile class can be read like any other Java InputStream.,"['(class, containment, method): (zipfile, includes, getinputstream)', '(method, access, class): (getinputstream(), retrieves, inputstream)']","T, F","T, F","T, F"
"Remember, that even if the 4 threads call wait() and notify() on the same shared string instance, the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances.","['(method, collaboration, method): (wait(), signals, notify)']",F,F,F
The equals() method tests if two Strings are exactly equal to each other.,[],,,
"Neither of the classes in this example has any fields or methods, but both the outer and nested class could have as many fields and methods as you see fit.",[],,,
The CliArgs class takes an array of String as argument to its constructor.,"['(class, dependency, class): (cliargs, takes as argument, string)']",T,T,T
The class MyRecursiveTask extends RecursiveTask<Long> which means that the result returned from the task is a Long .,"['(class, implementation, class): (recursivetask, extends, long)']",T,T,T
The remove() method returns the element that is removed from the Deque.,"['(method, execution, class): (remove(), returns, deque)']",F,F,F
"Second, if the lock is locked, the threads are blocked in the wait() call inside the while(isLocked) loop in the lock() method.","['(method, dependency, method): (wait(), blocked in, lock)']",T,T,T
"That means, that a class defines what information objects of that class holds, and what behaviour (methods) it exposes.","['(class, containment, method): (class, holds, methods)']",T,T,T
To write data to a Java FileOutputStream you can use its write() method.,"['(class, implementation, method): (fileoutputstream, use, write)']",T,T,T
"The getSuppressed() method of that exception will return an empty array, since no exceptions where suppressed.",[],,,
"Fat JARs are handy when you need to build an executable JAR file, e.g.",[],,,
The getAndAdd() method does the same as the addAndGet() method except the getAndAdd() method returns the value of the element before a value is added to it,"['(method, difference, method): (getandadd(), returns the value before addition, addandget)']",T,T,T
"Adding the value 0.01 to 0 a total of 100 times should result in the value 1.0, right?",[],,,
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,"['(method, creation, class): (of(), create, zoneid)']",T,T,T
Executing unlock() sets isLocked back to false and notifies (awakens) one of the threads waiting in the wait() call in the lock() method if any,"['(method, modification, class): (unlock(), sets, islocked)', '(method, collaboration, method): (unlock(), notifies, wait)', '(method, collaboration, method): (wait(), call in, lock)']","T, T, F","T, T, F","T, T, F"
"In order to connect to a server over the internet (via TCP/IP) in Java, you need to create a java.net.Socket and connect it to the server.","['(package, containment, class): (java.net, includes, java.net.socket)']",T,T,T
"The Locale class complies with the BCP 47 (IETF BCP 47, ""Tags for Identifying Languages"") standard.",[],,,
"If the parent class loader can't find the class, the child class loader then tries to load it itself.","['(class, dependency, class): (class loader, relies on, class)', '(class, execution, class): (class loader, initiates loading of, class)']","F, F ","F, F ","F, F "
Whatever the thread is supposed to do when it executes must be included in the implementation of the run() method.,[],,,
Inside the handle() method you can execute the code needed to handle the HTTP request.,[],,,
"That means, that if you are synchronizing multiple blocks on the same primitive wrapper object (e.g.",[],,,
All exceptions thrown in the application must be a subclass of the base exception.,[],,,
In this text we have seen that exception hierarchies can be created by subclassing exception classes.,[],,,
"That means, that it is possible for two different threads to call the inc() method and execute the long prevCount = this.count.get() statement, and thus both obtain the previous count for the counter.","['(method, execution, method): (inc(), executes, get)']",T,T,T
The Java Stream interface contains a static method called concat() which can concatenate two streams into one.,"['(interface, containment, method): (stream, contains, concat)']",T,T,T
"You can also implement the Java Comparable interface yourself, to make your own classes comparable.",[],,,
There is no guarantee of how many bytes the write() method writes to the SocketChannel.,"['(method, dependency, class): (write(), relies on, socketchannel)']",F,F,F
You will have to code your own exception class in order to make exception enrichment possible.,[],,,
You can also add multiple closures using the doLast() shortcut notation.,[],,,
"Instead you must use a custom class, or a custom interface that extends Runnable which has the extra methods, and which is implemented by an anonymous class.",[],,,
"You can search for an object on the stack to get it's index, using the search() method.",[],,,
"Access modifiers can be specified separately for a class, its constructors, fields and methods.","['(class, containment, class): (class, includes, constructors)', '(class, containment, class): (class, includes, fields)', '(class, containment, class): (class, includes, methods)']","T, T, T","T, T, T","T, T, T"
You can cast to any type or class available on the classpath.,[],,,
You will notice that the implementation has changed a bit with respect to synchronization and wait() / notify() compared to the Lock class shown earlier.,"['(class, difference, method): (lock, changed with respect to, wait)', '(class, difference, method): (lock, changed with respect to, notify)']","T, T","T, T","T, T"
java.util.Collection represents an ordered sequence of objects just like a Java List but its intended use is slightly different,"['(interface, difference, class): (java.util.collection, represents an ordered sequence of objects just like, java list)']",T,T,T
"Thus the URL class can be a handy way to open a file, if you need your code to not know whether the file came from the network or local file system.",[],,,
Here is an example of a Spaceship class which can compare itself to other Spaceship instances:,[],,,
This means that you want the output shown using the time unit minutes (e.g.,[],,,
"The java.util.concurrent.ScheduledExecutorService is an ExecutorService which can schedule tasks to run after a delay, or to execute repeatedly with a fixed interval of time in between each execution.","['(interface, containment, interface): (java.util.concurrent.scheduledexecutorservice, is an, java.util.concurrent.executorservice)']",T,T,T
"They are typically declared as either subclasses of an existing class, or as implementations of some interface.","['(class, implementation, interface): (class, declared as implementations of, interface)']",F,F,F
Below is an example that register the newly created instance with a static method in the MyClass class.,"['(class, creation, method): (myclass, register, instance)']",T,T,T
Each thread executing methodOne() will also create their own copy of localVariable2.,[],,,
java.io.Writer is faster to write an array of characters to a Java BufferedWriter than writing one character at a time,"['(class, preference, class): (java.io.writer, faster to write an array of characters to, java bufferedwriter)']",F,F,F
Here is an example of creating a ZonedDateTime object using the now() method:,"['(method, creation, class): (now(), creating, zoneddatetime)']",T,T,T
The call() method is called in order to execute the asynchronous task.,[],,,
"As you can see, the readMyData() method returns a MyData object.",[],,,
Here is an example of writing an object using the RionObjectWriter writeAcyclic() method:,"['(class, implementation, method): (rionobjectwriter, uses, writeacyclic)']",T,T,T
You can still set the JAR main class when generating the module JAR file.,[],,,
The SimpleDateFormat class does this via a version of the format() method that takes the Date StringBuffer and a FieldPosition instance as parameters,"['(class, implementation, method): (simpledateformat, does this via, format)', '(method, collaboration, class): (format(), takes, stringbuffer)', '(method, collaboration, class): (format(), takes, fieldposition)']","T, T, T","T, T, T","T, T, T"
The parameters are passed to the constructor inside the parentheses after the class name on the right side of the equal sign.,[],,,
The Java Stream max() method is a terminal operation that returns the largest element in the Stream.,[],,,
Since addChild() is synchronized thread 1 effectively locks the parent object for access from other treads.,[],,,
This example obtains the Class object from the class called MyObject.,"['(class, access, class): (class, obtains, myobject)']",T,T,T
Initializing a KeyGenerator instance is done by calling its init() method.,"['(class, execution, method): (keygenerator, initialization, init)']",T,T,T
"The class only has one public method, concatenate(), so all I need to test is this method.",[],,,
The PropertyResourceBundle class stores localized texts in standard Java property files.,[],T,T,T
"The Java FileReader is a subclass of the Java Reader class, so it has many of the same methods.","['(class, implementation, class): (filereader, subclass of, reader)']",,,
The replace() method will only insert the new value if there is already an existing value mapped to the key.,[],,,
Using Java Reflection you can inspect the methods of classes and invoke them at runtime.,"['(class, dependency, method): (java reflection, inspects, methods)', '(class, dependency, class): (java reflection, inspects, classes)', '(class, execution, method): (java reflection, invokes, methods)']","T, T, T","T, T, T","T, T, T"
"If you are writing a component that needs to write output to a stream, try to make sure that component depends on an OutputStream and not one of its subclasses.",[],,,
You may need the whole framework running in order to test your boundary class.,[],,,
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,"['(class, containment, class): (keypairgenerator, includes, java.security.keypairgenerator)']",T,T,T
"In that case, the exception thrown when attempted closed will be propagated up the call stack to the main() method where the try-catch block will catch it.",[],,,
"If the input String is not equal to the empty String, the second ternary operator returns the value of Integer.parseInt(input) .",[],,,
"Here is an example where method1() catches a non-enrichable exception and wraps it in an enrichable exception, and throws the enrichable exception:",[],,,
"Inside the while loop the doSomethingWithData() method is called, passing along the data byte array as well as how many bytes were read into the array as parameters.",[],,,
Most often you iterate the key Set and access the values for each key via the Map.get() method.,[],,,
"A Java Future, java.util.concurrent.Future, represents the result of an asynchronous computation.",[],,,
"You may be tempted then to always call notifyAll() instead notify(), but this is a bad idea performance wise.","['(method, preference, method): (notifyall(), is favored over, notify)']",T,T,T
"Inner classes will do just fine too, as long as they are declared ""public static"".",[],,,
If the Iterator has iterated over all elements in the underlying collection - the hasNext() method returns false.,"['(interface, dependency, method): (iterator, relies on, hasnext)']",T,T,T
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,"['(class, execution, method): (gzipinputstream, close, close)']",T,T,T
"This text contains a few examples of how to use the object DAO, IObjectDao, so you can get an idea about how to use the IObjectDao class:",[],,,
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.","['(interface, dependency, method): (executorservice, relies on, awaittermination)']",T,T,T
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.","['(class, difference, class): (rollingbufferinputstream, is not a subclass of, inputstream)']",T,T,T
This is done by calling the initVerify(...) method passing as parameter the public key to use to verify the signature.,[],,,
The Java Pattern class contains a list of flags (int constants) that you can use to make the Pattern matching behave in certain ways.,[],,,
Here is an example of a class that implements the Java Serializable interface:,[],,,
Here is an example of obtaining a subset of a Java SortedSet via its subSet() method:,"['(interface, containment, method): (sortedset, includes, subset)']",T,T,T
"However, the classes in the unnamed module are only readable by other classes in the unnamed module - or from automatic modules (see next section).",[],,,
This tutorial gets into the purpose of abstract classes in Java in more detail towards the end of this text.,[],,,
"The replace() method will replace all character matching the character passed as first parameter to the method, with the second character passed as parameter to the replace() method.",[],,,
"When you divide classes into multiple Java packages, it becomes easier to figure out where a certain class you are looking for is.","['(package, containment, class): (package, includes, class)']",T,T,T
