Text,Relations,Label1,Label2,Final Label
"The subclasses DecimalFormat and ChoiceFormat have a method toPattern(), so you must check using instanceof and call toPattern() ","(DecimalFormat, have method toPattern, ChoiceFormat)",T,T,T
"In Servlet you can get this header's value by request.getContentLength() or reqest.getHeaders(""Content-Length"") ","(HttpServletRequest.getContentLength, alternative method for obtaining header value, HttpServletRequest.getHeaders)",T,T,T
"If at any point you need bigger numbers, you can try java.math.BigInteger (if integer), or java.math.BigDecimal (if decimal) ","(java.math.BigInteger, used for larger integers, java.math.BigDecimal);",F,F,F
Use scheduler.pauseJob() or scheduler.pauseTrigger(). Use the pauseJob or pauseJobGroup methods of JobStore,,T,T,T
A nice way to do this is using Apache commons IOUtils to copy the InputStream into a StringWriter or use ByteArrayOutputStream if you don't want to mix your Streams and Writers,"(InputStream, copied to, StringWriter); (InputStream, copied to, ByteArrayOutputStream)","T, T","T, F","T, T"
Normal ways would be Integer.toString(i) or String.valueOf(i).,"(Integer.toString, equivalent to, String.valueOf);",T,T,T
"use the getters of java.time.LocalDateTime Or, when you're not on Java 8 yet, make use of java.util.Calendar. ","(java.time.LocalDateTime, alternative to, java.util.Calendar)",T,T,T
You might want to check for next element before getting it in Scanner with scanInput.hasNextInt(). If you use the above Scanner coord = new Scanner(System.in); and then call the function with Scanner scanInput = new Scanner(System.in);,"(Scanner, interacts with, System);",T,T,T
The TreeMap.putAll method (and the TreeMap constructor that takes a SortedMap) calls a method called buildFromSorted internally,"(TreeMap.putAll, calls internally, TreeMap); (TreeMap.putAll, calls internally, SortedMap); (TreeMap, takes, SortedMap)","T, T, T","T, T, F","T, T, T"
"r1 and r2 are just two different objects of classes that implement the Runnable interface and thus implement the run() method. When you call r1.run() you are executing it in the current thread. t1 and t2 are objects of the class Thread. When you call t1.start(), it starts a new thread and calls the run() method of r1 internally to execute it within that new thread.","(Runnable, implemented by, Thread); (Runnable, executed by, Thread)","T, T","T, T","T, T"
The cast ensures that the internal class used by Java to implement the lambda will implements Serializable,,T,T,T
"If you properly override the equals method, you can then just use the remove method ","(equals, prerequisite for use, remove)",T,T,T
It seems there is space at end. Do a trim() before passing to Integer.parseInt(str);,"(String.trim, prepares input for, Integer.parseInt)",T,T,T
wait() suspend the current thread until another thread calls notify() to wake up.,"(wait, depends on, notify)",T,T,T
"Typically anything that needs to be done after a SwingWorker completes its background work is done by overriding the done() method in it This method is called on the Swing event thread after completion, allowing you to update the GUI or print something out or whatever","(SwingWorker, completes background work with, done)",T,T,T
Put a Scanner.nextLine call after each Scanner.nextInt to consume rest of that line including newline,"(Scanner, requires newline consumption, nextLine); (Scanner, requires integer input, nextInt); (nextLine, consumes rest of line, nextInt)","T, T, F","T, T, F","T, T, F"
"the difference is in the contract, that when element can not be added to collection the add method throws an exception and offer doesn't.","(Contract, difference in exception handling, Add method); (Contract, difference in exception handling, Offer method)","T, F","T, F","T, F"
"In TreeMap - Elements are sorted
In HashMap - Elements are not sorted       ","(TreeMap, elements sorted, HashMap)",F,T,F
"sleep() causes the thread to definitely stop executing for a given amount of time; if no other thread or process needs to be run, the CPU will be idle (and probably enter a power saving mode).
yield() basically means that the thread is not doing anything particularly important and if any other threads or processes need to be run, they should. Otherwise, the current thread will continue","(Thread.sleep, different in execution behavior, Thread.yield)",T,T,T
"Servlets can render complete web pages, whereas portlets renders html fragments. These fragments are aggregated by the portal into a complete web page. The content type of JSR 168 portlets can be only cHTML, XHTML, WML. It does not support other content types. Portlets are not allowed to generate HTML code that contains tags such as body, frame, frameset, head, html, or title A Portlet unlike a servlet doesnâ€™t have URL attached to it so it cannot be accessed directly. Access is only through the portal page which holds the portlet. Portlets can be provided with controls to manipulate its window states or portlet modes. Multiple instances of a single portlet can be placed onto the same page. Portlets support persistent configuration and customization, profile information. Portlets can have two types of request viz. render request and action request.","(Servlet, renders complete web pages, Portlet); (Servlet, different in URL attachment, Portlet); (Servlet, different in access method, Portlet); (Servlet, different in content type support, Portlet); (Servlet, different in HTML generation, Portlet)","T, T, T, T, T","T, T, T, T, T","T, T, T, T, T"
"The difference is that using new Long() you will always create a new object, while using Long.valueOf(), may return you the cached value of long if the value is between [-128 to 127] If you see the source code for Long.valueOf(String), it internally invokes Long.valueOf(long), whose source code I have posted below: -      ","(Long, object creation method, Long.valueOf); (Long, object creation method, Long.valueOf()); (Long, object creation method, Long.valueOf()); (Long.valueOf, caching behavior, Long.valueOf()); (Long.valueOf, caching behavior, Long.valueOf()); (Long.valueOf(), caching behavior, Long.valueOf())","T, T, T, T, T, T","T, T, T, T, T, T","T, T, T, T, T, T"
Comparable and Comparator are generic interfaces that allow to compare instances of the type defined in the generic (subclasses included). The main difference between them is that Comparable is directly implemented in the class which you want to compare objects.,"(Comparable, different in implementation location, Comparator)",T,T,T
"One difference is that TreeMaps do not support null keys, but HashMaps do. With a TreeMap, you would get an exception at runtime if beanRecord.getEmail() returned null.","(TreeMap, different in null key support, HashMap)",T,T,T
"Difference between ForkJoinPool and ExecutorService
Eugene in his comment mentioned also one more important thing. ForkJoinPool uses work-stealing approach.while ExecutorService created with .newFixedThreadPool() uses divide and conquer approach.","(ForkJoinPool, different in approach, ExecutorService); (ForkJoinPool, uses work-stealing approach, newFixedThreadPool); (ExecutorService, uses divide and conquer approach, newFixedThreadPool)","T, T, T","T, T, T","T, T, T"
"PrintWriter has an optional constructor you may use to enable auto-flushing when specific methods are called. No such option exists in FileWriter. When writing to files, FileWriter has an optional constructor which allows it to append to the existing file when the ""write()"" method is called.    ","(PrintWriter, different in auto-flushing option, FileWriter); (FileWriter, different in append option, PrintWriter)","T, F","T, F","T, F"
"HashSet gives you an O(1) contains() method but doesn't preserve order. ArrayList contains() is O(n) but you can control the order of the entries. Array if you need to insert anything in between, worst case can be O(n), since you will have to move the data down and make room for the insertion. In Set, you can directly use SortedSet which too has O(n) too but with flexible operations.     ","(HashSet, different in order preservation, ArrayList);  ",T,T,T
"If collection is empty, popLast() returns null, but removeLast() returns a discardable result or crashesï¿?","(popLast, behavior on empty collection, removeLast)",T,T,T
"In Java, to send data via the socket, you get an OutputStream (1) from it, and write to the OutputStream (you output some data). n your case, the server has another socket (the other end of the connection) and another pair of streams. It uses its InputStream (2) to read from the network, and its OutputStream (3) to write the same data back across the network to your client, which reads it again via its InputStream (4) completing the round trip.      ","(OutputStream, sends data to, InputStream)",T,T,T
"Not really an error but a suggestion from @MadProgrammer in this other answer of mine to use the Shape API instead of pure .drawOval as you did while drawing the line, change drawOval to draw(new Ellipse2D.Double(...) You're overriding paint(Graphics g) method instead of paintComponent(Graphics g) this could cause some issues while painting      ","(Shape, use API, Ellipse2D); (Shape, method override, Graphics); (Ellipse2D, method override, Graphics)","F, F, F","F, F, F","F, F, F"
"The most straight-forward looking approach will just use readLine() which is part of Predef. this is so verbose, you'd rather use java.util.Scanner instead.","(java.util.Scanner, preferred over, readLine)",T,T,T
"Indeed rather use ExecutorService instead of Timer, here's an SSCCE:","(ExecutorService, preferred over, Timer)",T,T,T
"An alternative is to write your own class which implements the necessary Queue interface. It is not needed except in those rare cases where you wish to do something special while providing the rest of your program with a Queue An even less used alternative is to construct an anonymous class that implements Queue. You probably don't want to do this, but it's listed as an option for the sake of covering all the bases.      ",,F,F,F
"You can use ListIterator instead of Iterator. ListIterator has previous() and hasPrevious() methods. Not directly, as others pointed out, but if you e.g. need to access one previous element you could easily save that in a separate variable      ","(ListIterator, can use instead of, Iterator)",T,T,T
"use this overload rather than the List<T>.toArray() overload, you can choose the actual type of the array.        ","(List, type selection, toArray)",T,T,T
use a javax.swing.Timer to perform the animation rather than Thread.sleep(),"(javax.swing.Timer, preferred for animation, Thread.sleep)",T,T,T
"In general, it's not at all safe to compare the hashCode instead of using equals","(hashCode, not safe to compare instead of, equals)",T,T,T
"it will initialize an immutable List rather than an ArrayList, and furthermore, it's not available yet, if it ever will be","(List, initialization type, ArrayList)",T,T,T
"you can use Comparable, or custom Comparator to do this.","(Comparable, can use, Comparator)",T,T,T
"If you a resource is needed for you application and is packaged in the jar, it should be read from an URL, either via getClass().getResource() which returns an actual URL to a resource, or getClass().getResourceAsStream() which return the resource as a stream in the form of InputStream, obtained from the URL. You can also getClassLoader(), but here are the main differences       ","(URL, obtained as, InputStream)",T,T,T
"In Servlet you can get this header's value by request.getContentLength() or reqest.getHeaders(""Content-Length"")       ","(getContentLength, retrieves header value, getHeaders)",T,T,T
convert java.util.Date to java.sql.Date,"(java.util.Date, conversion to, java.sql.Date)",T,T,T
Convert a Date to a String using DateFormat#format method:,"(Date, converted by, DateFormat); (Date, converted to, format); (DateFormat, uses, format)","T, T, T","T, T, T","T, T, T"
the following code converts List<Integer> to List<String>:,"(List, contains, Integer); (List, contains, String); (Integer, converted to, String)","T, T","T, T","T, T"
use Collections.list() to convert an Enumeration to a List in one line:,"(Collections.list, conversion method, Enumeration); (Collections.list, conversion method, List); (Enumeration, conversion target, List)","T, T, T","T, T, F","T, T, T"
convert a java.util.Date object to a java.lang.String object representing the,"(java.util.Date, converted to, java.lang.String)",T,T,T
convert String to int use Integer.toString(i) or String.valueOf(i),"(Integer.toString, convert method, String); (String.valueOf, convert method, String)","F, F","F, F","F, F"
Iterator is used with the ArrayList to facilitate element traversal.,"(Iterator, facilitates traversal of, ArrayList)",T,T,T
ArrayList relies on the implementation of the Iterator interface.,"(ArrayList, relies on implementation of, Iterator)",T,T,T
ArrayList collaborates with Collections to perform collection operations such as sorting.,"(ArrayList, collaborates with, Collections)",T,T,T
The Iterable interface depends on the Iterator interface to provide a mechanism for iterating over a collection of objects.,"(Iterable, depends on, Iterator); (Iterator, provides mechanism for, Iterable)","T, T","T, T","T, T"
ArrayList collaborates with the ListIterator to enable modifications to the list during traversal.,"(ArrayList, collaborates with, ListIterator);",T,T,T
ArrayList relies on the framework of basic list operations provided by AbstractList.,"(ArrayList, relies on framework of, AbstractList)",T,T,T
"so, you should use nextline() in your while rather than next().","(nextLine, preferred over, next)",T,T,T
as for your example: since hashcode() is executed exactly once it has less impact than equals().,"(hashCode, less impact than, equals)",T,T,T
