Sentence, Entity,Label 1,Label 2,Final
"If the read() method returns -1, the end of stream has been reached, meaning there is no more data to read in the InputStream.",read(): method; inputstream: class,"T, T","T, T","T, T"
If unlockWrite() was not called from inside a finallyclause and an exception was thrown from the critical section the ReadWriteLock would remain write locked forever causing all threads calling lockRead() or lockWrite() on that ReadWriteLock instance to halt indefinately,unlockwrite(): method; lockread(): method; lockwrite(): method; readwritelock: class,F,F,F
The BufferedWriter adds one extra method though: The newLine() method which can write a new-line character to the underlying Writer.,bufferedwriter: class; newline(): method; writer: class,"T, T, T","T, T, T","T, T, T"
You can use addBatch() and executeBatch() methods to execute batch updates.,addbatch(): method; executebatch(): method,"T, T","T, T","T, T"
You can obtain the log level of a Logger using the getLevel() method:,logger: class; getlevel(): method,"T, T","T, T","T, T"
Notice the two new methods in the MyState class named doSetup() and doTearDown().,mystate: class; dosetup(): method; doteardown(): method,"T, T, T","T, T, T","T, T, T"
"Just like with classes, a Java interface can be declared public or package scope (no access modifier).",classes: class; interface: interface; package: package,F,F,F
"The BlockingDeque interface in the java.util.concurrent class represents a deque which is thread safe to put into, and take instances from.",blockingdeque: interface; java.util.concurrent: package,"T, T","T, T","T, T"
"In Java a type is either a class, an abstract class an interface, an enum or an annotation.",class: class; interface: interface; enum: class; annotation: interface,F,F,F
Here is an example of a Java class with two constructors:,,F,F,F
The Java String class contains a method named replace() which can replace characters in a String.,string: class; replace(): method,"T, T","T, T","T, T"
Subclasses only need to worry about processing the data from the InputStream passed to the processURLData() method.,processurldata(): method; inputstream: class,"T, T","T, T","T, T"
"mutiple blocks from a large file, you call the update() once for each block of data, and finish with a call to doFinal() with the last data loce",update(): method; dofinal(): method,"T, T","T, T","T, T"
You can convert a FileOutputStream to a character based Writer using the Java OutputStreamWriter class,fileoutputstream: class; outputstreamwriter: class,"T, T","T, T","T, T"
The call to unread() pushes a character back into the PushbackReader.,unread(): method; pushbackreader: class,"T, T","T, T","T, T"
If compareAndSet() sets a new reference in the AtomicReference the compareAndSet() method returns true.,compareandset(): method; atomicreference: class,"T, T","T, T","T, T"
Otherwise your code will not be able to call the unread() method on the PushbackInputStream.,unread(): method; pushbackinputstream: class,"T, T","T, T","T, T"
Notice the str variable after the String class name in the instanceof expression inside the if-statement.,string: class,F,T,T
"Once the update() method writes a value to days, the newly written values to years and months are also written to main memory.",update(): method,T,T,T
"For instance, if a file already exists at the destination path, and you have left out the StandardCopyOption.REPLACE_EXISTING option, or if the file to move does not exist etc.",standardcopyoption.replace_existing: class,T,T,T
You can find more information about creating and publishing a public key / priate key pair from the Sonatype producers page: https://central.sonatype.org/pages/producers.html.,,F,F,F
The Java NIO Files class also contains a function for moving files from one path to another.,files: class; move: method,"T, T","T, T","T, T"
The peekFirst() method returns the first element from the beginning (head) of a Java Deque without removing it.,peekfirst(): method; deque: interface,"T, T","T, T","T, T"
"The various Handler's in the Java Logging API use either of these two Formatter's by default, but you can also set your own custom Formatter subclass on a Handler.",handler: class; formatter: class,"T, T","T, T","T, T"
It is not important how this class looks in order to understand how the FrameExchanger works.,frameexchanger: class,T,T,T
"The main disadvantage of the assembly line concurrency model is that the execution of a job is often spread out over multiple workers, and thus over multiple classes in your project.",,F,F,F
By calling the get() method the request object associated with the calling thread can be obtained.,get(): method; request: class,"T, T","T, T","T, T"
This for-loop is shorter than original while-loop where you would iterate the collections Iterator and call Iterator.next() to obtain the next instance.,iterator: class; iterator.next(): method,T,T,T
"As you can imagine, only the execute() method will grow as the number of localized dependencies grow.",execute(): method,F,F,F
When checking for tables with similar names to the class to map only the class name itself is used.,,F,F,F
"Sometimes a nested class is only visible to the enclosing class, is only used internally, and is thus never visible outside the enclosing class.",nested class: class; enclosing class: class,F,F,F
Each character returned from read() is thus returned from this internal array.,,F,F,F
"If you do not need to hook into all of these methods, you can extend the SimpleFileVisitor class, which contains default implementations of all methods in the FileVisitor interface.",simplefilevisitor: class; filevisitor: interface,"T, T","T, T","T, T"
In the following section I will explain how the compareTo() method works.,compareto(): method,T,T,T
Notice that there is no explicit close() call on the StringReader.,stringreader: class; close(): method,"T, T","T, T","T, T"
Sending the header in a separate roundtrip (the first) can be smart if the server can do some initial pre-validation of e.g.,,F,F,F
The assertSame() and assertNotSame() methods tests if two object references point to the same object or not.,assertsame(): method; assertnotsame(): method,"T, T","T, T","T, T"
"When there is no more data to read from the second InputStream, the SequenceInputStream read() method will return -1, just like any other InputStream does.",sequenceinputstream: class; read(): method; inputstream: class,"T, T, T","T, T, T","T, T, T"
Java's builtin Class loaders always checks if a class is already loaded before loading it.,class: class;,F,F,F
"If the two objects are equal according to their implementation of their equals() method, the assertEquals() method will return normally.",equals(): method; assertequals(): method,"T, T","T, T","T, T"
"If you need to set a date + time on a java.sql.PreparedStatement or get a date + time from a java.sql.ResultSet, you will interact with java.sql.Timestamp.",java.sql.preparedstatement: class; java.sql.resultset: class; java.sql.timestamp: class; java.sql: package,"T, T, T, T","T, T, T, T","T, T, T, T"
"The Java instanceof operator also evaluates to true when comparing an object against a superinterface which the class of the object, or a superclass of the object implements.",instanceof: method; object: class; superinterface: interface; class: class; superclass: class,F,F,F
The ObjectMappingKey class has some static shortcut factory methods to create object mapping keys that has custom object mappers for auto-generated columns.,objectmappingkey: class; create: method,"T, T","T, T","T, T"
The DateTimeFormatter is located in the java.time.format package so the fully qualified class name is java.time.format.DateTimeFormatter.,java.time.format.datetimeformatter: class; java.time.format: package,"T, T","T, T","T, T"
The methods notify() and notifyAll() do not save the method calls to them in case no threads are waiting when they are called,notify(): method; notifyall(): method,"T, T","T, T","T, T"
In order to calculate a message digest of some data you call the update() or digest() method.,update(): method; digest(): method,"T, T","T, T","T, T"
"Having discussed sources, destinations, input, output and the various IO purposes targeted by the Java IO classes, here is a table listing most (if not all) Java IO classes divided by input, output, being byte based or character based, and any more specific purpose they may be addressing, like buffering, parsing etc.",,F,F,F
Here is an example showing how to implement the lock() method shown earlier using the AtomicBoolean class:,atomicboolean: class; lock(): method,"T, T","T, T","T, T"
"For instance, if a method in the superclass is public then it must be public in the subclass too, in case the subclass overrides the method.",method: method; subclass: class; superclass: class,F,F,F
"Both threads execute the run() method, and thus sets different values on the ThreadLocal instance.",run(): method; threadlocal: class,"T, T","T, T","T, T"
The first way to implement a resizable buffer is to start with a small buffer of e.g.,,F,F,F
Specifying a generic type of the Set returned by Set.of() looks like this:,set.of(): method,T,T,T
"However, even if synchronized blocks are reentrant, the Lock class shown earlier is not reentrant.",lock: class,T,T,T
You can list all entries contained in a ZipFile using the entries() method.,,F,F,F
The InputStream obtained from the getInputStream() of the ZipFile class can be read like any other Java InputStream.,zipfile: class; getinputstream(): method; inputstream: class,"T, T, T","T, T, T","T, T, T"
"Remember, that even if the 4 threads call wait() and notify() on the same shared string instance, the signals from the doWait() and doNotify() calls are stored individually in the two MyWaitNotify instances.",wait(): method; notify(): method,"T, T","T, T","T, T"
The equals() method tests if two Strings are exactly equal to each other.,equals(): method,T,T,T
"Neither of the classes in this example has any fields or methods, but both the outer and nested class could have as many fields and methods as you see fit.",,F,F,F
The CliArgs class takes an array of String as argument to its constructor.,cliargs: class; string: class,"T, T","T, T","T, T"
The class MyRecursiveTask extends RecursiveTask<Long> which means that the result returned from the task is a Long .,recursivetask: class; long: class,"T, T","T, T","T, T"
The remove() method returns the element that is removed from the Deque.,remove(): method; deque: class,"T, T","T, T","T, T"
"Second, if the lock is locked, the threads are blocked in the wait() call inside the while(isLocked) loop in the lock() method.",wait(): method; lock(): method,"T, T","T, T","T, T"
"That means, that a class defines what information objects of that class holds, and what behaviour (methods) it exposes.",class: class; methods: method,F,F,F
To write data to a Java FileOutputStream you can use its write() method.,fileoutputstream: class; write(): method,T,T,T
"The getSuppressed() method of that exception will return an empty array, since no exceptions where suppressed.",getsuppressed(): method,"T, T","T, T","T, T"
"Fat JARs are handy when you need to build an executable JAR file, e.g.",,F,F,F
The getAndAdd() method does the same as the addAndGet() method except the getAndAdd() method returns the value of the element before a value is added to it,getandadd(): method; addandget(): method,"T, T","T, T","T, T"
"Adding the value 0.01 to 0 a total of 100 times should result in the value 1.0, right?",,F,F,F
The parameter passed to the of() method is the ID of the time zone to create a ZoneId for.,of(): method; zoneid: class,"T, T, T, T","T, T, T, T","T, T, T, T"
Executing unlock() sets isLocked back to false and notifies (awakens) one of the threads waiting in the wait() call in the lock() method if any,unlock(): method; islocked: class; wait(): method; lock(): method,"T, T, T, T","T, T, T, T","T, T, T, T"
"In order to connect to a server over the internet (via TCP/IP) in Java, you need to create a java.net.Socket and connect it to the server.",java.net.socket: class; java.net: package,"T, T","T, T","T, T"
"The Locale class complies with the BCP 47 (IETF BCP 47, ""Tags for Identifying Languages"") standard.",locale: class,T,T,T
"If the parent class loader can't find the class, the child class loader then tries to load it itself.",class loader: class; class: class; class loader: class,F,F,F
Whatever the thread is supposed to do when it executes must be included in the implementation of the run() method.,run(): method,T,T,T
Inside the handle() method you can execute the code needed to handle the HTTP request.,handle(): method,T,T,T
"That means, that if you are synchronizing multiple blocks on the same primitive wrapper object (e.g.",,F,F,F
All exceptions thrown in the application must be a subclass of the base exception.,exception: class,T,T,T
In this text we have seen that exception hierarchies can be created by subclassing exception classes.,,F,F,F
"That means, that it is possible for two different threads to call the inc() method and execute the long prevCount = this.count.get() statement, and thus both obtain the previous count for the counter.",inc(): method; get(): method,"T, T","T, T","T, T"
The Java Stream interface contains a static method called concat() which can concatenate two streams into one.,stream: interface; concat(): method,"T, T","T, T","T, T"
"You can also implement the Java Comparable interface yourself, to make your own classes comparable.",comparable: interface,T,T,T
There is no guarantee of how many bytes the write() method writes to the SocketChannel.,write(): method; socketchannel: class,"T, T","T, T","T, T"
You will have to code your own exception class in order to make exception enrichment possible.,,F,F,F
You can also add multiple closures using the doLast() shortcut notation.,,F,F,F
"Instead you must use a custom class, or a custom interface that extends Runnable which has the extra methods, and which is implemented by an anonymous class.",runnable: interface,T,T,T
"You can search for an object on the stack to get it's index, using the search() method.",search(): method,T,T,T
"Access modifiers can be specified separately for a class, its constructors, fields and methods.",class: class; constructors: class; fields: class; methods: class,F,F,F
You can cast to any type or class available on the classpath.,,F,F,F
You will notice that the implementation has changed a bit with respect to synchronization and wait() / notify() compared to the Lock class shown earlier.,lock: class; wait(): method; notify(): method,"T, T, T","T, T, T","T, T, T"
java.util.Collection represents an ordered sequence of objects just like a Java List but its intended use is slightly different,java.util.collection: interface; java list: class,"T, T","T, T","T, T"
"Thus the URL class can be a handy way to open a file, if you need your code to not know whether the file came from the network or local file system.",url: class,T,T,T
Here is an example of a Spaceship class which can compare itself to other Spaceship instances:,,F,F,F
This means that you want the output shown using the time unit minutes (e.g.,,F,F,F
"The java.util.concurrent.ScheduledExecutorService is an ExecutorService which can schedule tasks to run after a delay, or to execute repeatedly with a fixed interval of time in between each execution.",java.util.concurrent.scheduledexecutorservice: interface; java.util.concurrent.executorservice: interface; java.util.concurrent: package,"T, T, T","T, T, T","T, T, T"
"They are typically declared as either subclasses of an existing class, or as implementations of some interface.",class: class; interface: interface,F,F,F
Below is an example that register the newly created instance with a static method in the MyClass class.,myclass: class; register: method,"T, T","T, T","T, T"
Each thread executing methodOne() will also create their own copy of localVariable2.,methodone(): method,T,T,T
java.io.Writer is faster to write an array of characters to a Java BufferedWriter than writing one character at a time,java.io.writer: class; java bufferedwriter: class;,"T, T","T, T","T, T"
Here is an example of creating a ZonedDateTime object using the now() method:,zoneddatetime: class; now(): method,"T, T","T, T","T, T"
The call() method is called in order to execute the asynchronous task.,call(): method,T,T,T
"As you can see, the readMyData() method returns a MyData object.",readmydata(): method; mydata: class,"T, T","T, T","T, T"
Here is an example of writing an object using the RionObjectWriter writeAcyclic() method:,rionobjectwriter: class; writeacyclic(): method,"T, T","T, T","T, T"
You can still set the JAR main class when generating the module JAR file.,,F,F,F
The SimpleDateFormat class does this via a version of the format() method that takes the Date StringBuffer and a FieldPosition instance as parameters,simpledateformat: class; format(): method; stringbuffer: class; fieldposition: class,"T, T, T, T","T, T, T, T","T, T, T, T"
The parameters are passed to the constructor inside the parentheses after the class name on the right side of the equal sign.,,F,F,F
The Java Stream max() method is a terminal operation that returns the largest element in the Stream.,stream: class; max(): method,"T, T","T, T","T, T"
Since addChild() is synchronized thread 1 effectively locks the parent object for access from other treads.,addchild(): method,T,T,T
This example obtains the Class object from the class called MyObject.,class: class; myobject: class,F,F,F
Initializing a KeyGenerator instance is done by calling its init() method.,keygenerator: class; init(): method,"T, T","T, T","T, T"
"The class only has one public method, concatenate(), so all I need to test is this method.",concatenate(): method,T,T,T
The PropertyResourceBundle class stores localized texts in standard Java property files.,propertyresourcebundle: class,T,T,T
"The Java FileReader is a subclass of the Java Reader class, so it has many of the same methods.",filereader: class; reader: class,"T, T","T, T","T, T"
The replace() method will only insert the new value if there is already an existing value mapped to the key.,replace(): method,T,T,T
Using Java Reflection you can inspect the methods of classes and invoke them at runtime.,java reflection: class; methods: method; classes: class,F,F,F
"If you are writing a component that needs to write output to a stream, try to make sure that component depends on an OutputStream and not one of its subclasses.",outputstream: class,T,T,T
You may need the whole framework running in order to test your boundary class.,boundary: class,T,T,T
To generate an asymmetric key pair you can use the KeyPairGenerator (java.security.KeyPairGenerator).,keypairgenerator: class; java.security.keypairgenerator: class,"T, T","T, T","T, T"
"In that case, the exception thrown when attempted closed will be propagated up the call stack to the main() method where the try-catch block will catch it.",main(): method,T,T,T
"If the input String is not equal to the empty String, the second ternary operator returns the value of Integer.parseInt(input) .",integer.parseint: method,T,T,T
"Here is an example where method1() catches a non-enrichable exception and wraps it in an enrichable exception, and throws the enrichable exception:",method1(): method,T,T,T
"Inside the while loop the doSomethingWithData() method is called, passing along the data byte array as well as how many bytes were read into the array as parameters.",dosomethingwithdata(): method,T,T,T
Most often you iterate the key Set and access the values for each key via the Map.get() method.,map.get(): method,T,T,T
"A Java Future, java.util.concurrent.Future, represents the result of an asynchronous computation.",java.util.concurrent.future: interface,T,T,T
"You may be tempted then to always call notifyAll() instead notify(), but this is a bad idea performance wise.",notifyall(): method; notify(): method,"T, T","T, T","T, T"
"Inner classes will do just fine too, as long as they are declared ""public static"".",inner classes: class,T,T,T
If the Iterator has iterated over all elements in the underlying collection - the hasNext() method returns false.,iterator: interface; hasnext(): method,"T, T","T, T","T, T"
When you are finished reading data from the GZIPInputStream you should close it using its close() method.,gzipinputstream: class; close(): method,"T, T","T, T","T, T"
"This text contains a few examples of how to use the object DAO, IObjectDao, so you can get an idea about how to use the IObjectDao class:",,F,F,F
"The ExecutorService awaitTermination() method will block the thread calling it until either the ExecutorService has shutdown completely, or until a given time out occurs.",executorservice: interface; awaittermination(): method,"T, T","T, T","T, T"
"Note: Even if the class is called RollingBufferInputStream, it is not an InputStream subclass.",rollingbufferinputstream: class; inputstream: class,"T, T","T, T","T, T"
This is done by calling the initVerify(...) method passing as parameter the public key to use to verify the signature.,initverify: method,T,T,T
The Java Pattern class contains a list of flags (int constants) that you can use to make the Pattern matching behave in certain ways.,pattern: class,T,T,T
Here is an example of a class that implements the Java Serializable interface:,serializable: interface,T,T,T
Here is an example of obtaining a subset of a Java SortedSet via its subSet() method:,sortedset: interface; subset(): method,"T, T","T, T","T, T"
"However, the classes in the unnamed module are only readable by other classes in the unnamed module - or from automatic modules (see next section).",,F,F,F
This tutorial gets into the purpose of abstract classes in Java in more detail towards the end of this text.,abstract classes: class,F,F,F
"The replace() method will replace all character matching the character passed as first parameter to the method, with the second character passed as parameter to the replace() method.",replace(): method,T,T,T
"When you divide classes into multiple Java packages, it becomes easier to figure out where a certain class you are looking for is.",class: class; package: package,F,F,F
,,F,F,F
,,F,F,F
