Text,Entities,Label1,Label2,Final Label
"One difference is that TreeMaps do not support null keys, but HashMaps do. With a TreeMap, you would get an exception at runtime if beanRecord.getEmail() returned null.","TreeMap, HashMap","T, T","T, T","T, T"
"Difference between ForkJoinPool and ExecutorService
Eugene in his comment mentioned also one more important thing. ForkJoinPool uses work-stealing approach.while ExecutorService created with .newFixedThreadPool() uses divide and conquer approach.","ForkJoinPool, ExecutorService, newFixedThreadPool","T, T, T","T, T, T","T, T, T"
"PrintWriter has an optional constructor you may use to enable auto-flushing when specific methods are called. No such option exists in FileWriter. When writing to files, FileWriter has an optional constructor which allows it to append to the existing file when the ""write()"" method is called.    ","PrintWriter, FileWriter","T, T","T, T","T, T"
"HashSet gives you an O(1) contains() method but doesn't preserve order. ArrayList contains() is O(n) but you can control the order of the entries. Array if you need to insert anything in between, worst case can be O(n), since you will have to move the data down and make room for the insertion. In Set, you can directly use SortedSet which too has O(n) too but with flexible operations.     ","HashSet, ArrayList, Array, Set, SortedSet","T, T, T, T, T","T, T, T, T, T","T, T, T, T, T"
"If collection is empty, popLast() returns null, but removeLast() returns a discardable result or crashesï¿?","popLast, removeLast","T, T","T, T","T, T"
"In Java, to send data via the socket, you get an OutputStream (1) from it, and write to the OutputStream (you output some data). n your case, the server has another socket (the other end of the connection) and another pair of streams. It uses its InputStream (2) to read from the network, and its OutputStream (3) to write the same data back across the network to your client, which reads it again via its InputStream (4) completing the round trip.      ","OutputStream, InputStream","T, T","T, T","T, T"
"Not really an error but a suggestion from @MadProgrammer in this other answer of mine to use the Shape API instead of pure .drawOval as you did while drawing the line, change drawOval to draw(new Ellipse2D.Double(...) You're overriding paint(Graphics g) method instead of paintComponent(Graphics g) this could cause some issues while painting      ","Shape, Ellipse2D, Graphics","T, F, T","T, F, T","T, F, T"
"The most straight-forward looking approach will just use readLine() which is part of Predef. this is so verbose, you'd rather use java.util.Scanner instead.","readLine, java.util.Scanner","T, T","T, T","T, T"
"Indeed rather use ExecutorService instead of Timer, here's an SSCCE:","ExecutorService, Timer","T, T","T, T","T, T"
"An alternative is to write your own class which implements the necessary Queue interface. It is not needed except in those rare cases where you wish to do something special while providing the rest of your program with a Queue An even less used alternative is to construct an anonymous class that implements Queue. You probably don't want to do this, but it's listed as an option for the sake of covering all the bases.      ",Queue,T,T,T
"You can use ListIterator instead of Iterator. ListIterator has previous() and hasPrevious() methods. Not directly, as others pointed out, but if you e.g. need to access one previous element you could easily save that in a separate variable      ","ListIterator, Iterator","T, T","T, T","T, T"
"use this overload rather than the List<T>.toArray() overload, you can choose the actual type of the array.        ","List, toArray","F, F","F, F","F, F"
use a javax.swing.Timer to perform the animation rather than Thread.sleep(),"javax.swing.Timer, Thread.sleep","T, T","T, T","T, T"
"In general, it's not at all safe to compare the hashCode instead of using equals","hashCode, equals","T, T","T, T","T, T"
"it will initialize an immutable List rather than an ArrayList, and furthermore, it's not available yet, if it ever will be","List, ArrayList","T, T","T, T","T, T"
"you can use Comparable, or custom Comparator to do this.","Comparable, Comparator","T, T","T, T","T, T"
"If you a resource is needed for you application and is packaged in the jar, it should be read from an URL, either via getClass().getResource() which returns an actual URL to a resource, or getClass().getResourceAsStream() which return the resource as a stream in the form of InputStream, obtained from the URL. You can also getClassLoader(), but here are the main differences       ","URL, InputStream","T, T","T, T","T, T"
"In Servlet you can get this header's value by request.getContentLength() or reqest.getHeaders(""Content-Length"")       ","getContentLength, getHeaders","T, F","T, F","T, F"
convert java.util.Date to java.sql.Date,"java.util.Date, java.sql.Date","T, T","T, T","T, T"
Convert a Date to a String using DateFormat#format method:,"Date, DateFormat, format","T, T, F","T, T, F","T, T, F"
the following code converts List<Integer> to List<String>:,"List, Integer, String","T, T, T","T, T, T","T, T, T"
use Collections.list() to convert an Enumeration to a List in one line:,"Collections.list, Enumeration, List","T, T, T","F, T, T","T, T, T"
convert a java.util.Date object to a java.lang.String object representing the,"java.util.Date, java.lang.String","T, T","T, T","T, T"
convert String to int use Integer.toString(i) or String.valueOf(i),"Integer.toString, String.valueOf","T, T","T, T","T, T"
Iterator is used with the ArrayList to facilitate element traversal.,"Iterator, ArrayList","T, T","T, T","T, T"
ArrayList relies on the implementation of the Iterator interface.,"ArrayList, Iterator","T, T","T, T","T, T"
ArrayList collaborates with Collections to perform collection operations such as sorting.,"ArrayList, Collections","T, T","T, T","T, T"
The Iterable interface depends on the Iterator interface to provide a mechanism for iterating over a collection of objects.,"Iterable, Iterator","T, T","T, T","T, T"
ArrayList collaborates with the ListIterator to enable modifications to the list during traversal.,"ArrayList, ListIterator","T, T","T, T","T, T"
ArrayList relies on the framework of basic list operations provided by AbstractList.,"ArrayList, AbstractList","T, T","T, T","T, T"
"so, you should use nextline() in your while rather than next().","nextLine, next","T, T","T, T","T, T"
as for your example: since hashcode() is executed exactly once it has less impact than equals().,"hashCode, equals","T, T","T, T","T, T"
